simulation,d,c,p,spectralGapBefore,spectralGapAfter,t,
0,4,1.5,0.5,0.33489167720002644,0.0,0,
0,4,1.5,0.5,0.2252916451153122,0.0,1,
0,4,1.5,0.5,0.24066250280452617,0.0,2,
0,4,1.5,0.5,0.24108735439751483,0.0,3,
0,4,1.5,0.5,0.2432692902866329,0.0,4,
0,4,1.5,0.5,0.24100962915513047,0.0,5,
0,4,1.5,0.5,0.23734857247583074,0.0,6,
0,4,1.5,0.5,0.24293845054146257,0.0,7,
0,4,1.5,0.5,0.2328204176820896,0.0,8,
0,4,1.5,0.5,0.23485030957386688,0.0,9,
0,4,1.5,0.5,0.23774172020341777,0.0,10,
0,4,1.5,0.5,0.22571798404005394,0.0,11,
0,4,1.5,0.5,0.23282237375030368,0.0,12,
0,4,1.5,0.5,0.23412906974069714,0.0,13,
0,4,1.5,0.5,0.2384738262873337,0.0,14,
0,4,1.5,0.5,0.23114322500816953,0.0,15,
0,4,1.5,0.5,0.23909606553705942,0.0,16,
0,4,1.5,0.5,0.2510390643463589,0.0,17,
0,4,1.5,0.5,0.2355270190648998,0.0,18,
0,4,1.5,0.5,0.2447478650968934,0.0,19,
0,4,1.5,0.5,0.23750292305613319,0.0,20,
0,4,1.5,0.5,0.23624193439939056,0.0,21,
0,4,1.5,0.5,0.23261482962280344,0.0,22,
0,4,1.5,0.5,0.2344081881356509,0.0,23,
0,4,1.5,0.5,0.24642221418495336,0.0,24,
0,4,1.5,0.5,0.22714509152284423,0.0,25,
0,4,1.5,0.5,0.23612308425198936,0.0,26,
0,4,1.5,0.5,0.2345322441778941,0.0,27,
0,4,1.5,0.5,0.24052417406265325,0.0,28,
0,4,1.5,0.5,0.23610332279155177,0.0,29,
0,4,1.5,0.5,0.22753093861279794,0.0,30,
0,4,1.5,0.5,0.24201617516779483,0.0,31,
0,4,1.5,0.5,0.23667669242206313,0.0,32,
0,4,1.5,0.5,0.2409499226569446,0.0,33,
0,4,1.5,0.5,0.24616467021719202,0.0,34,
0,4,1.5,0.5,0.24086503872972376,0.0,35,
0,4,1.5,0.5,0.226950100099917,0.0,36,
0,4,1.5,0.5,0.23479651525957235,0.0,37,
0,4,1.5,0.5,0.23445247243874356,0.0,38,
0,4,1.5,0.5,0.24205813378785013,0.0,39,
0,4,1.5,0.5,0.23679539883346012,0.0,40,
0,4,1.5,0.5,0.2341873917450662,0.0,41,
0,4,1.5,0.5,0.24363605663061594,0.0,42,
0,4,1.5,0.5,0.22994184442821874,0.0,43,
0,4,1.5,0.5,0.2406590828975611,0.0,44,
0,4,1.5,0.5,0.2319660825893295,0.0,45,
0,4,1.5,0.5,0.23233851882574952,0.0,46,
0,4,1.5,0.5,0.24004978395875154,0.0,47,
0,4,1.5,0.5,0.2529271795001524,0.0,48,
0,4,1.5,0.5,0.23401546965955966,0.0,49,
0,4,1.5,0.5,0.24206877950965267,0.0,50,
0,4,1.5,0.5,0.23682837379117683,0.0,51,
0,4,1.5,0.5,0.23638796430967224,0.0,52,
0,4,1.5,0.5,0.23945396393308005,0.0,53,
0,4,1.5,0.5,0.24254966973808445,0.0,54,
0,4,1.5,0.5,0.23293567751882405,0.0,55,
0,4,1.5,0.5,0.2474791347301386,0.0,56,
0,4,1.5,0.5,0.24125988696983658,0.0,57,
0,4,1.5,0.5,0.23693003856461115,0.0,58,
0,4,1.5,0.5,0.24898905584384334,0.0,59,
0,4,1.5,0.5,0.2416169236582123,0.0,60,
0,4,1.5,0.5,0.24134728293413432,0.0,61,
0,4,1.5,0.5,0.24386812391224655,0.0,62,
0,4,1.5,0.5,0.24017304510088278,0.0,63,
0,4,1.5,0.5,0.24187150768834498,0.0,64,
0,4,1.5,0.5,0.22931928176756666,0.0,65,
0,4,1.5,0.5,0.2303711917589808,0.0,66,
0,4,1.5,0.5,0.23342992100810311,0.0,67,
0,4,1.5,0.5,0.23636898720778665,0.0,68,
0,4,1.5,0.5,0.24194894570665648,0.0,69,
0,4,1.5,0.5,0.23532753893588754,0.0,70,
0,4,1.5,0.5,0.22850777137614897,0.0,71,
0,4,1.5,0.5,0.23598470354806234,0.0,72,
0,4,1.5,0.5,0.2496033080350487,0.0,73,
0,4,1.5,0.5,0.23670624163616072,0.0,74,
0,4,1.5,0.5,0.23244953993683692,0.0,75,
0,4,1.5,0.5,0.238535297792016,0.0,76,
0,4,1.5,0.5,0.23443440419138817,0.0,77,
0,4,1.5,0.5,0.23698226033702396,0.0,78,
0,4,1.5,0.5,0.2321733078884577,0.0,79,
0,4,1.5,0.5,0.23077313177057546,0.0,80,
0,4,1.5,0.5,0.2489949179557016,0.0,81,
0,4,1.5,0.5,0.2447901679347595,0.0,82,
0,4,1.5,0.5,0.24222968788287425,0.0,83,
0,4,1.5,0.5,0.23973782511086306,0.0,84,
0,4,1.5,0.5,0.23708155628451466,0.0,85,
0,4,1.5,0.5,0.2430583677411714,0.0,86,
0,4,1.5,0.5,0.23686308660323174,0.0,87,
0,4,1.5,0.5,0.24998095173788437,0.0,88,
0,4,1.5,0.5,0.24481042358290894,0.0,89,
0,4,1.5,0.5,0.24240024285793005,0.0,90,
0,4,1.5,0.5,0.24023738523918836,0.0,91,
0,4,1.5,0.5,0.2387174208492,0.0,92,
0,4,1.5,0.5,0.2274704017899135,0.0,93,
0,4,1.5,0.5,0.23934361336828847,0.0,94,
0,4,1.5,0.5,0.23377113685950024,0.0,95,
0,4,1.5,0.5,0.2392346181603231,0.0,96,
0,4,1.5,0.5,0.23734304456745148,0.0,97,
0,4,1.5,0.5,0.2447753203803107,0.0,98,
0,4,1.5,0.5,0.2528724722234206,0.0,99,
0,4,1.5,0.5,0.24065760203710407,0.0,100,
1,4,1.5,0.5,0.34428056960175646,0.0,0,
1,4,1.5,0.5,0.22418095340382194,0.0,1,
1,4,1.5,0.5,0.23475487162824438,0.0,2,
1,4,1.5,0.5,0.24165296696144956,0.0,3,
1,4,1.5,0.5,0.23959773863060518,0.0,4,
1,4,1.5,0.5,0.23776400900205563,0.0,5,
1,4,1.5,0.5,0.24428488520121272,0.0,6,
1,4,1.5,0.5,0.23846444548329593,0.0,7,
1,4,1.5,0.5,0.23566575295685976,0.0,8,
1,4,1.5,0.5,0.2346834151463344,0.0,9,
1,4,1.5,0.5,0.22141209218996816,0.0,10,
1,4,1.5,0.5,0.24086720908162418,0.0,11,
1,4,1.5,0.5,0.24068033925015953,0.0,12,
1,4,1.5,0.5,0.2388863095746694,0.0,13,
1,4,1.5,0.5,0.24060833291085415,0.0,14,
1,4,1.5,0.5,0.2433592828051766,0.0,15,
1,4,1.5,0.5,0.2410264645564888,0.0,16,
1,4,1.5,0.5,0.23186026857017283,0.0,17,
1,4,1.5,0.5,0.24305138245113467,0.0,18,
1,4,1.5,0.5,0.2524077016065823,0.0,19,
1,4,1.5,0.5,0.23984311636655353,0.0,20,
1,4,1.5,0.5,0.24420618011361472,0.0,21,
1,4,1.5,0.5,0.23950342768079502,0.0,22,
1,4,1.5,0.5,0.2465603119720281,0.0,23,
1,4,1.5,0.5,0.2403696068960045,0.0,24,
1,4,1.5,0.5,0.2444400513549474,0.0,25,
1,4,1.5,0.5,0.22791162776300677,0.0,26,
1,4,1.5,0.5,0.24317478113969293,0.0,27,
1,4,1.5,0.5,0.2294000600934345,0.0,28,
1,4,1.5,0.5,0.23806471064018564,0.0,29,
1,4,1.5,0.5,0.22339340129636498,0.0,30,
1,4,1.5,0.5,0.2473040372419526,0.0,31,
1,4,1.5,0.5,0.2376276150198623,0.0,32,
1,4,1.5,0.5,0.24489950179324005,0.0,33,
1,4,1.5,0.5,0.23811513462468203,0.0,34,
1,4,1.5,0.5,0.2371420344432318,0.0,35,
1,4,1.5,0.5,0.2377424632276549,0.0,36,
1,4,1.5,0.5,0.24143851483948175,0.0,37,
1,4,1.5,0.5,0.23148067251059756,0.0,38,
1,4,1.5,0.5,0.24989246878842863,0.0,39,
1,4,1.5,0.5,0.24476881696735586,0.0,40,
1,4,1.5,0.5,0.24202042188987793,0.0,41,
1,4,1.5,0.5,0.24298377973500784,0.0,42,
1,4,1.5,0.5,0.24743471983108067,0.0,43,
1,4,1.5,0.5,0.23803131162569302,0.0,44,
1,4,1.5,0.5,0.24370000647025047,0.0,45,
1,4,1.5,0.5,0.238363798484303,0.0,46,
1,4,1.5,0.5,0.24544635757500044,0.0,47,
1,4,1.5,0.5,0.2482975553304727,0.0,48,
1,4,1.5,0.5,0.236380644433961,0.0,49,
1,4,1.5,0.5,0.23343619368234947,0.0,50,
1,4,1.5,0.5,0.22306041915294483,0.0,51,
1,4,1.5,0.5,0.24379474949170465,0.0,52,
1,4,1.5,0.5,0.24217988705390614,0.0,53,
1,4,1.5,0.5,0.23757643323934619,0.0,54,
1,4,1.5,0.5,0.23146987236461192,0.0,55,
1,4,1.5,0.5,0.24844250104732057,0.0,56,
1,4,1.5,0.5,0.243212140233808,0.0,57,
1,4,1.5,0.5,0.2374371572845828,0.0,58,
1,4,1.5,0.5,0.24314980671374486,0.0,59,
1,4,1.5,0.5,0.22188807515734665,0.0,60,
1,4,1.5,0.5,0.24673819418176224,0.0,61,
1,4,1.5,0.5,0.23729611943876838,0.0,62,
1,4,1.5,0.5,0.24387416950837215,0.0,63,
1,4,1.5,0.5,0.22913941257867143,0.0,64,
1,4,1.5,0.5,0.24213814074353268,0.0,65,
1,4,1.5,0.5,0.24023200804083922,0.0,66,
1,4,1.5,0.5,0.2334342852588175,0.0,67,
1,4,1.5,0.5,0.24041481587284486,0.0,68,
1,4,1.5,0.5,0.24785161319298277,0.0,69,
1,4,1.5,0.5,0.23603417370464808,0.0,70,
1,4,1.5,0.5,0.24801069162973244,0.0,71,
1,4,1.5,0.5,0.2403826038282163,0.0,72,
1,4,1.5,0.5,0.23529504048095684,0.0,73,
1,4,1.5,0.5,0.2491213879591052,0.0,74,
1,4,1.5,0.5,0.24178722921917084,0.0,75,
1,4,1.5,0.5,0.2482280064192569,0.0,76,
1,4,1.5,0.5,0.24773154752824922,0.0,77,
1,4,1.5,0.5,0.24541967222084649,0.0,78,
1,4,1.5,0.5,0.2353963899988748,0.0,79,
1,4,1.5,0.5,0.24557911586923742,0.0,80,
1,4,1.5,0.5,0.24283933648142952,0.0,81,
1,4,1.5,0.5,0.237188772217079,0.0,82,
1,4,1.5,0.5,0.23771784284555764,0.0,83,
1,4,1.5,0.5,0.23607485540949869,0.0,84,
1,4,1.5,0.5,0.23296093056852474,0.0,85,
1,4,1.5,0.5,0.2442147497536069,0.0,86,
1,4,1.5,0.5,0.2339290844075318,0.0,87,
1,4,1.5,0.5,0.24542295608877407,0.0,88,
1,4,1.5,0.5,0.2419380147625474,0.0,89,
1,4,1.5,0.5,0.23445939215360412,0.0,90,
1,4,1.5,0.5,0.2392546092945378,0.0,91,
