simulation,d,c,t,lambda,beta,n,entering_nodes,exiting_nodes,informed_nodes,uninformed_nodes,percentage_informed,t_flood,process_status,flood_status,initiator,
0,4,1.5,11,256.0,0.5,531,258,229,4,527,0.007532956685499058,1,True,None,5566,
0,4,1.5,12,256.0,0.5,528,247,250,5,523,0.00946969696969697,2,True,None,5566,
0,4,1.5,13,256.0,0.5,562,278,244,8,554,0.014234875444839857,3,True,None,5566,
0,4,1.5,14,256.0,0.5,554,263,271,5,549,0.009025270758122744,4,True,None,5566,
0,4,1.5,15,256.0,0.5,504,252,302,0,504,0.0,5,True,False,5566,
1,4,1.5,6,256.0,0.5,514,251,245,6,508,0.011673151750972763,1,True,None,608,
1,4,1.5,7,256.0,0.5,496,233,251,24,472,0.04838709677419355,2,True,None,608,
1,4,1.5,8,256.0,0.5,518,273,251,88,430,0.16988416988416988,3,True,None,608,
1,4,1.5,9,256.0,0.5,481,234,271,189,292,0.39293139293139295,4,True,None,608,
1,4,1.5,10,256.0,0.5,510,266,237,373,137,0.7313725490196078,5,True,None,608,
1,4,1.5,11,256.0,0.5,548,286,248,520,28,0.948905109489051,6,True,None,608,
1,4,1.5,12,256.0,0.5,553,261,256,551,2,0.9963833634719711,7,True,None,608,
1,4,1.5,13,256.0,0.5,533,245,265,532,1,0.99812382739212,8,True,None,608,
1,4,1.5,14,256.0,0.5,508,249,274,508,0,1.0,9,True,None,608,
1,4,1.5,15,256.0,0.5,485,240,263,483,2,0.9958762886597938,10,True,None,608,
1,4,1.5,16,256.0,0.5,504,267,248,500,4,0.9920634920634921,11,True,None,608,
1,4,1.5,17,256.0,0.5,537,267,234,534,3,0.994413407821229,12,True,None,608,
1,4,1.5,18,256.0,0.5,516,260,281,514,2,0.9961240310077519,13,True,None,608,
1,4,1.5,19,256.0,0.5,520,255,251,520,0,1.0,14,True,None,608,
1,4,1.5,20,256.0,0.5,501,240,259,500,1,0.998003992015968,15,True,None,608,
1,4,1.5,21,256.0,0.5,487,240,254,487,0,1.0,16,True,None,608,
1,4,1.5,22,256.0,0.5,496,255,246,496,0,1.0,17,True,None,608,
1,4,1.5,23,256.0,0.5,506,250,240,506,0,1.0,18,True,None,608,
1,4,1.5,24,256.0,0.5,515,249,240,514,1,0.9980582524271845,19,True,None,608,
1,4,1.5,25,256.0,0.5,488,250,277,486,2,0.9959016393442623,20,True,None,608,
