simulation,d,c,p,spectralGapBefore,spectralGapAfter,t,
0,4,1.5,0.05,0.33828127826784693,0.3247439154138747,0,
0,4,1.5,0.05,0.3257216954893931,0.3123797477184893,1,
0,4,1.5,0.05,0.3109651908846992,0.2978811461849932,2,
0,4,1.5,0.05,0.29822650517904925,0.28540019439546116,3,
0,4,1.5,0.05,0.28613592846134084,0.2706670756771833,4,
0,4,1.5,0.05,0.27460257832957335,0.2584729191844011,5,
0,4,1.5,0.05,0.26324852972607393,0.24659673278101701,6,
0,4,1.5,0.05,0.25246576352068917,0.23588288303748117,7,
0,4,1.5,0.05,0.2406701256067123,0.22719050762130277,8,
0,4,1.5,0.05,0.2327202854755317,0.2179488684744192,9,
0,4,1.5,0.05,0.22596930544523275,0.21098047517134277,10,
0,4,1.5,0.05,0.22006608229655833,0.20441807051335004,11,
0,4,1.5,0.05,0.2164270492979774,0.19928457842611969,12,
0,4,1.5,0.05,0.21151112009862894,0.19481508121220237,13,
0,4,1.5,0.05,0.2057124027842676,0.1905956143474009,14,
0,4,1.5,0.05,0.20204719788706005,0.1859710997910171,15,
0,4,1.5,0.05,0.1991993593615955,0.18468136958789383,16,
0,4,1.5,0.05,0.1979442356714014,0.0,17,
0,4,1.5,0.05,0.1965581805182779,0.1801160070176887,18,
0,4,1.5,0.05,0.19244423813895173,0.17853289168610964,19,
0,4,1.5,0.05,0.1902935705227421,0.0,20,
0,4,1.5,0.05,0.19219110717916088,0.1747128258510393,21,
0,4,1.5,0.05,0.1894104947896753,0.17108233709758414,22,
0,4,1.5,0.05,0.18889419306746824,0.17201619620484054,23,
0,4,1.5,0.05,0.18660408732025124,0.17208212275556423,24,
0,4,1.5,0.05,0.18846924028144918,0.17177518658790425,25,
0,4,1.5,0.05,0.1885504055591395,0.1714071859964008,26,
0,4,1.5,0.05,0.1875203011535138,0.17165353639865277,27,
0,4,1.5,0.05,0.18631162761338504,0.1722277856772213,28,
0,4,1.5,0.05,0.18479833316527372,0.16984962682098415,29,
0,4,1.5,0.05,0.18454885575348468,0.1687408137892935,30,
0,4,1.5,0.05,0.18471466566149075,0.16894286356470534,31,
0,4,1.5,0.05,0.18444282329754103,0.1698034580077531,32,
0,4,1.5,0.05,0.18516637525564883,0.1679802677612915,33,
0,4,1.5,0.05,0.18419660113519132,0.1680620214869052,34,
0,4,1.5,0.05,0.1826286991880588,0.16697268160966627,35,
0,4,1.5,0.05,0.1828309995047982,0.16770115540260044,36,
0,4,1.5,0.05,0.18218177312063166,0.16805073323739772,37,
0,4,1.5,0.05,0.18326233190885888,0.16644378760234924,38,
0,4,1.5,0.05,0.18252511154758122,0.16630873471081276,39,
0,4,1.5,0.05,0.18186462361082767,0.16705813340030773,40,
0,4,1.5,0.05,0.18057901117546316,0.16351237629303672,41,
0,4,1.5,0.05,0.181901309609674,0.16400811707415863,42,
0,4,1.5,0.05,0.18107431522191342,0.1648536613705861,43,
0,4,1.5,0.05,0.18091450370234152,0.1660569390054204,44,
0,4,1.5,0.05,0.1813789717376708,0.16594390582797125,45,
0,4,1.5,0.05,0.1814660903214429,0.16710042823446136,46,
0,4,1.5,0.05,0.18180765234725804,0.16710306456942592,47,
0,4,1.5,0.05,0.1820341994842969,0.16657402814795985,48,
0,4,1.5,0.05,0.1822452928308006,0.164867116495776,49,
0,4,1.5,0.05,0.1815025333464787,0.16892671039400553,50,
0,4,1.5,0.05,0.18299112011474772,0.16565377215655686,51,
0,4,1.5,0.05,0.18193794724979362,0.1650752829243628,52,
0,4,1.5,0.05,0.18182281954023694,0.1663459391214539,53,
0,4,1.5,0.05,0.18290435041075637,0.1671340951592375,54,
0,4,1.5,0.05,0.18189628961355142,0.16719724666855373,55,
0,4,1.5,0.05,0.18189163905723715,0.16709185095570567,56,
0,4,1.5,0.05,0.18235393749329742,0.1669280464825008,57,
0,4,1.5,0.05,0.18309000062777658,0.16474094714860232,58,
0,4,1.5,0.05,0.18057879516598863,0.16519777158216153,59,
0,4,1.5,0.05,0.18226806004238516,0.16610903803938137,60,
0,4,1.5,0.05,0.1819957851770726,0.1672422110230869,61,
0,4,1.5,0.05,0.1801153195071431,0.16626814869983497,62,
0,4,1.5,0.05,0.18151956439208072,0.16691728838578535,63,
0,4,1.5,0.05,0.18116556928784044,0.1645525312657492,64,
0,4,1.5,0.05,0.18100122538485663,0.16593035710109572,65,
0,4,1.5,0.05,0.1837179553110302,0.16648226565365276,66,
0,4,1.5,0.05,0.18281995632404968,0.1685272806728766,67,
0,4,1.5,0.05,0.18427104357474344,0.0,68,
0,4,1.5,0.05,0.18410689204570996,0.1669256843556567,69,
0,4,1.5,0.05,0.18250873138726853,0.16805377053553727,70,
0,4,1.5,0.05,0.1822589248626355,0.16633676015202536,71,
0,4,1.5,0.05,0.18169959140692382,0.16700572972854488,72,
0,4,1.5,0.05,0.18181137498888922,0.16810350020991038,73,
0,4,1.5,0.05,0.18313495471277497,0.16846194248868596,74,
0,4,1.5,0.05,0.1835117329555318,0.16665711598330435,75,
0,4,1.5,0.05,0.18347537992973728,0.16921818639443964,76,
0,4,1.5,0.05,0.182708580275863,0.1668106909219439,77,
0,4,1.5,0.05,0.18222329740027776,0.16579819323741085,78,
0,4,1.5,0.05,0.18281965273033174,0.16734838943179164,79,
0,4,1.5,0.05,0.18260758015174905,0.16686846454587612,80,
0,4,1.5,0.05,0.18212015706862483,0.16539752274353237,81,
0,4,1.5,0.05,0.18242851564021967,0.1671021614991175,82,
0,4,1.5,0.05,0.18216754353905273,0.1656646301878476,83,
0,4,1.5,0.05,0.18096424661262311,0.16414368311752192,84,
0,4,1.5,0.05,0.18182271920270088,0.16766376798797422,85,
0,4,1.5,0.05,0.18180674256261875,0.16507597497197368,86,
0,4,1.5,0.05,0.18177409626382623,0.16520438521769654,87,
0,4,1.5,0.05,0.18196312173584506,0.16701754614611286,88,
0,4,1.5,0.05,0.18284159691024793,0.16422124014681438,89,
0,4,1.5,0.05,0.18196564110493174,0.16468050978710191,90,
0,4,1.5,0.05,0.18220712372608194,0.16684329601942638,91,
0,4,1.5,0.05,0.18224061684654558,0.1634992644911739,92,
0,4,1.5,0.05,0.1803599617669337,0.1647014079871466,93,
0,4,1.5,0.05,0.18172036561424898,0.16708253902936698,94,
0,4,1.5,0.05,0.180724739417236,0.16711893720605364,95,
0,4,1.5,0.05,0.17960361754667098,0.16561032424412336,96,
0,4,1.5,0.05,0.181663030786817,0.16609422642169203,97,
0,4,1.5,0.05,0.1801908792753817,0.16486662250267803,98,
0,4,1.5,0.05,0.18199143766005754,0.16646093072862655,99,
0,4,1.5,0.05,0.18168512879055898,0.16484577658587907,100,
1,4,1.5,0.05,0.3387362995415115,0.3241078773728451,0,
1,4,1.5,0.05,0.32401187964940237,0.3109957908280626,1,
1,4,1.5,0.05,0.311188896496166,0.2952431249659906,2,
1,4,1.5,0.05,0.29794520273445135,0.2814620275421993,3,
1,4,1.5,0.05,0.28650973509692235,0.26927077397084975,4,
1,4,1.5,0.05,0.27426252065021706,0.2573885333734479,5,
1,4,1.5,0.05,0.262812832695666,0.2456131797080383,6,
1,4,1.5,0.05,0.25253255007466846,0.23668377791342,7,
1,4,1.5,0.05,0.24391830516940927,0.22597108123518606,8,
1,4,1.5,0.05,0.2337586388459063,0.21738221760868415,9,
1,4,1.5,0.05,0.2267379492834467,0.21085735646836468,10,
1,4,1.5,0.05,0.21962560947621412,0.20283092318964235,11,
1,4,1.5,0.05,0.21459227184034058,0.1984234594010994,12,
1,4,1.5,0.05,0.20866186779326634,0.19455980570819453,13,
1,4,1.5,0.05,0.20507914339023559,0.1898074281985096,14,
1,4,1.5,0.05,0.20378935137726473,0.18723099618230932,15,
1,4,1.5,0.05,0.2010759260570094,0.18515059203754625,16,
1,4,1.5,0.05,0.19712654174033972,0.18351892896067945,17,
1,4,1.5,0.05,0.19632152158189664,0.18048710829083392,18,
1,4,1.5,0.05,0.1934552564833255,0.1768987362187815,19,
1,4,1.5,0.05,0.1914702866674185,0.0,20,
1,4,1.5,0.05,0.18997369263883934,0.17510764081597918,21,
1,4,1.5,0.05,0.1895088712783769,0.0,22,
1,4,1.5,0.05,0.18902283012401466,0.17214089388975218,23,
1,4,1.5,0.05,0.18567964220402655,0.1710066250769433,24,
1,4,1.5,0.05,0.18763569163202976,0.17110591916759177,25,
1,4,1.5,0.05,0.18595832515295185,0.17026090278815698,26,
1,4,1.5,0.05,0.1860822795907544,0.1701308158199285,27,
1,4,1.5,0.05,0.1852354246074348,0.16836899976616038,28,
1,4,1.5,0.05,0.1835534092064819,0.16806207704247733,29,
1,4,1.5,0.05,0.18449050233096664,0.16863982942772848,30,
1,4,1.5,0.05,0.18509891709169557,0.16863915088198345,31,
1,4,1.5,0.05,0.18239604573883306,0.16884022490762318,32,
1,4,1.5,0.05,0.1837465480952737,0.16845881678610308,33,
1,4,1.5,0.05,0.18431302926999604,0.16839811731624932,34,
