simulation,d,c,t,lambda,beta,n,entering_nodes,exiting_nodes,informed_nodes,uninformed_nodes,percentage_informed,t_flood,process_status,flood_status,initiator,
0,4,1.5,10,153.6,0.3,515,148,135,4,511,0.007766990291262136,1,True,None,2897,
0,4,1.5,11,153.6,0.3,514,139,140,19,495,0.03696498054474708,2,True,None,2897,
0,4,1.5,12,153.6,0.3,512,144,146,74,438,0.14453125,3,True,None,2897,
0,4,1.5,13,153.6,0.3,498,141,155,209,289,0.41967871485943775,4,True,None,2897,
0,4,1.5,14,153.6,0.3,480,131,149,413,67,0.8604166666666667,5,True,None,2897,
0,4,1.5,15,153.6,0.3,488,135,127,486,2,0.9959016393442623,6,True,None,2897,
0,4,1.5,16,153.6,0.3,521,181,148,521,0,1.0,7,True,None,2897,
0,4,1.5,17,153.6,0.3,497,135,159,497,0,1.0,8,True,None,2897,
0,4,1.5,18,153.6,0.3,504,140,133,504,0,1.0,9,True,None,2897,
0,4,1.5,19,153.6,0.3,506,142,140,506,0,1.0,10,True,None,2897,
0,4,1.5,20,153.6,0.3,505,147,148,505,0,1.0,11,True,None,2897,
0,4,1.5,21,153.6,0.3,503,143,145,503,0,1.0,12,True,None,2897,
0,4,1.5,22,153.6,0.3,527,169,145,526,1,0.9981024667931688,13,True,None,2897,
0,4,1.5,23,153.6,0.3,493,150,184,493,0,1.0,14,True,None,2897,
0,4,1.5,24,153.6,0.3,514,161,140,514,0,1.0,15,True,None,2897,
0,4,1.5,25,153.6,0.3,501,145,158,501,0,1.0,16,True,None,2897,
0,4,1.5,26,153.6,0.3,521,158,138,521,0,1.0,17,True,None,2897,
0,4,1.5,27,153.6,0.3,498,141,164,498,0,1.0,18,True,None,2897,
0,4,1.5,28,153.6,0.3,509,162,151,509,0,1.0,19,True,None,2897,
0,4,1.5,29,153.6,0.3,517,161,153,517,0,1.0,20,True,None,2897,
0,4,1.5,30,153.6,0.3,522,158,153,522,0,1.0,21,True,None,2897,
0,4,1.5,31,153.6,0.3,521,159,160,520,1,0.9980806142034548,22,True,None,2897,
0,4,1.5,32,153.6,0.3,489,128,160,489,0,1.0,23,True,None,2897,
0,4,1.5,33,153.6,0.3,465,147,171,465,0,1.0,24,True,None,2897,
0,4,1.5,34,153.6,0.3,474,149,140,474,0,1.0,25,True,None,2897,
0,4,1.5,35,153.6,0.3,507,164,131,507,0,1.0,26,True,None,2897,
0,4,1.5,36,153.6,0.3,450,119,176,450,0,1.0,27,True,None,2897,
0,4,1.5,37,153.6,0.3,452,136,134,452,0,1.0,28,True,None,2897,
0,4,1.5,38,153.6,0.3,483,167,136,483,0,1.0,29,True,None,2897,
0,4,1.5,39,153.6,0.3,494,148,137,494,0,1.0,30,True,None,2897,
0,4,1.5,40,153.6,0.3,520,152,126,520,0,1.0,31,True,None,2897,
0,4,1.5,41,153.6,0.3,509,150,161,509,0,1.0,32,True,None,2897,
0,4,1.5,42,153.6,0.3,519,149,139,519,0,1.0,33,True,None,2897,
0,4,1.5,43,153.6,0.3,527,162,154,527,0,1.0,34,True,None,2897,
0,4,1.5,44,153.6,0.3,520,146,153,519,1,0.9980769230769231,35,True,None,2897,
0,4,1.5,45,153.6,0.3,529,162,153,529,0,1.0,36,True,None,2897,
0,4,1.5,46,153.6,0.3,507,149,171,507,0,1.0,37,True,None,2897,
0,4,1.5,47,153.6,0.3,530,155,132,530,0,1.0,38,True,None,2897,
0,4,1.5,48,153.6,0.3,547,158,141,547,0,1.0,39,True,None,2897,
0,4,1.5,49,153.6,0.3,559,156,144,558,1,0.998211091234347,40,True,None,2897,
