simulation,d,c,p,spectralGapBefore,spectralGapAfter,t,
0,4,1.5,0.02,0.3404056682610561,0.33467463936324426,0,
0,4,1.5,0.02,0.33364081162233794,0.3284700060202721,1,
0,4,1.5,0.02,0.329690443401336,0.32364293180025183,2,
0,4,1.5,0.02,0.32498064669635063,0.3204911410371728,3,
0,4,1.5,0.02,0.3189446966335051,0.3135507211857266,4,
0,4,1.5,0.02,0.3135922721454618,0.3081857620485656,5,
0,4,1.5,0.02,0.30899989805340977,0.30208135348794307,6,
0,4,1.5,0.02,0.30381803805168417,0.29781067292030605,7,
0,4,1.5,0.02,0.2986650426380232,0.29348747469037284,8,
0,4,1.5,0.02,0.2914842008221802,0.28647348705457354,9,
0,4,1.5,0.02,0.2867358952619945,0.28372674365221806,10,
0,4,1.5,0.02,0.2828985588725291,0.27827310639350544,11,
0,4,1.5,0.02,0.27740347979067526,0.27153179184431053,12,
0,4,1.5,0.02,0.27288908710756443,0.2667375292120626,13,
0,4,1.5,0.02,0.2699187091967772,0.2640779516262054,14,
0,4,1.5,0.02,0.2658051138475883,0.25951113451131846,15,
0,4,1.5,0.02,0.260732016009802,0.25488667897712436,16,
0,4,1.5,0.02,0.25584134928509605,0.2517866400664175,17,
0,4,1.5,0.02,0.2522611685229398,0.24595821257777306,18,
0,4,1.5,0.02,0.2485618627159637,0.24337934037309805,19,
0,4,1.5,0.02,0.2466884132571866,0.23872221114810532,20,
0,4,1.5,0.02,0.2431445736244806,0.2369892518198239,21,
0,4,1.5,0.02,0.24013292315890133,0.23303009275900066,22,
0,4,1.5,0.02,0.23407707245793719,0.22926226663617932,23,
0,4,1.5,0.02,0.2309383876368708,0.22558864670857404,24,
0,4,1.5,0.02,0.2272704750875999,0.22197126379163468,25,
0,4,1.5,0.02,0.22749025442526827,0.22073699602034447,26,
0,4,1.5,0.02,0.2244998822622446,0.21722144287017442,27,
0,4,1.5,0.02,0.22075164550565907,0.21608530522045843,28,
0,4,1.5,0.02,0.21919491191374552,0.2125214954384319,29,
0,4,1.5,0.02,0.21555875446212147,0.20991507323261982,30,
0,4,1.5,0.02,0.2147799207434843,0.20745307595349183,31,
0,4,1.5,0.02,0.21168296534184827,0.205862501126173,32,
0,4,1.5,0.02,0.21049111544607935,0.20608260612353657,33,
0,4,1.5,0.02,0.20903941670109838,0.20116696371193366,34,
0,4,1.5,0.02,0.2077740724517374,0.2014237526565107,35,
0,4,1.5,0.02,0.20488919463612854,0.20008916533790977,36,
0,4,1.5,0.02,0.2049822358963741,0.19924386786590442,37,
0,4,1.5,0.02,0.20359410348817886,0.1969580455180806,38,
0,4,1.5,0.02,0.2013367807716696,0.19540592614884134,39,
0,4,1.5,0.02,0.20030787704029085,0.19434006670767334,40,
0,4,1.5,0.02,0.19745045906947578,0.1930913254437956,41,
0,4,1.5,0.02,0.1979492254783437,0.19021694276256562,42,
0,4,1.5,0.02,0.19525700331744855,0.18916800019295443,43,
0,4,1.5,0.02,0.19611898288514307,0.1898442883441822,44,
0,4,1.5,0.02,0.1945545547973272,0.18782791009335043,45,
0,4,1.5,0.02,0.19371387746706226,0.18923734940290415,46,
0,4,1.5,0.02,0.19413025963875608,0.18773600290363557,47,
0,4,1.5,0.02,0.19251497744591517,0.18627660241230082,48,
0,4,1.5,0.02,0.1922346927217985,0.18544401746010175,49,
0,4,1.5,0.02,0.1913300774709783,0.18595869089897343,50,
0,4,1.5,0.02,0.190671406876594,0.18367873272487945,51,
0,4,1.5,0.02,0.19007997049207748,0.18337721110938043,52,
0,4,1.5,0.02,0.18840367301722216,0.18200908289089235,53,
0,4,1.5,0.02,0.18894256707099233,0.18167607203651315,54,
0,4,1.5,0.02,0.1872957691712348,0.18132071861513632,55,
0,4,1.5,0.02,0.18651564734778603,0.17967216251780682,56,
0,4,1.5,0.02,0.18569710875426126,0.1789371427784302,57,
0,4,1.5,0.02,0.18585085057163597,0.17972488550054755,58,
0,4,1.5,0.02,0.1852546406225084,0.17876347976372808,59,
0,4,1.5,0.02,0.18482810233066604,0.1785829507890777,60,
0,4,1.5,0.02,0.18446362141700035,0.1788994918977691,61,
0,4,1.5,0.02,0.18412237612911309,0.17712896693479008,62,
0,4,1.5,0.02,0.18460535180535453,0.17962946815717917,63,
0,4,1.5,0.02,0.18404263405230903,0.17770133880033345,64,
0,4,1.5,0.02,0.18336555122060016,0.17847959030442473,65,
0,4,1.5,0.02,0.1841991821525879,0.17778577084612146,66,
0,4,1.5,0.02,0.1839218797069646,0.17766912116822575,67,
0,4,1.5,0.02,0.1840187892538544,0.17683342770618304,68,
0,4,1.5,0.02,0.1840369043167347,0.17754235760575043,69,
0,4,1.5,0.02,0.18272962309805796,0.17734027098013616,70,
0,4,1.5,0.02,0.18402599391127117,0.1768976570764953,71,
0,4,1.5,0.02,0.1830078275516478,0.17739145784352273,72,
0,4,1.5,0.02,0.18302533996512627,0.17735185511194818,73,
0,4,1.5,0.02,0.18224083121273116,0.1766030785700975,74,
0,4,1.5,0.02,0.18297847787899757,0.17622139470387088,75,
0,4,1.5,0.02,0.181791332836858,0.17616248126321465,76,
0,4,1.5,0.02,0.18190882435389633,0.17501187641430416,77,
0,4,1.5,0.02,0.18077114515097503,0.17507517595401745,78,
0,4,1.5,0.02,0.18008460629854084,0.17417550972188467,79,
0,4,1.5,0.02,0.18123011960208568,0.17542653780638395,80,
0,4,1.5,0.02,0.1819731866740858,0.17626108608407975,81,
0,4,1.5,0.02,0.18096818988471897,0.17435346110005046,82,
0,4,1.5,0.02,0.18022623809136384,0.17371913216432366,83,
0,4,1.5,0.02,0.18030255862688294,0.17526594226020764,84,
0,4,1.5,0.02,0.17989227753158454,0.17307496173411696,85,
0,4,1.5,0.02,0.1806208122433287,0.17479593384883896,86,
0,4,1.5,0.02,0.18129617214319582,0.17475437566689467,87,
0,4,1.5,0.02,0.18100765589910672,0.1737542855363141,88,
0,4,1.5,0.02,0.17997129486033858,0.1736245945307886,89,
0,4,1.5,0.02,0.18034648144740972,0.17473197364538817,90,
0,4,1.5,0.02,0.18016698774739526,0.1739573502492181,91,
0,4,1.5,0.02,0.17993889146958986,0.17377108171556688,92,
0,4,1.5,0.02,0.18011626033801342,0.1737261650006946,93,
0,4,1.5,0.02,0.17885402961590136,0.17381523686040523,94,
0,4,1.5,0.02,0.1794371699470214,0.17488249607248973,95,
0,4,1.5,0.02,0.18098925730456572,0.17409892029795226,96,
0,4,1.5,0.02,0.18101730250400117,0.17550117096663298,97,
0,4,1.5,0.02,0.1822765064867995,0.17492711496073743,98,
