simulation,d,c,n,target_n,lambda,q,t,converged,SpectralGapBefore,SpectralGapAfter,
0,4,0,606,2048.0,1433.6,0.7,3,False,0.0,0.0,
0,4,1,624,2048.0,1433.6,0.7,4,True,0.0,0.0,
0,4,2,586,2048.0,1433.6,0.7,5,True,0.0,0.0,
0,4,3,597,2048.0,1433.6,0.7,6,True,0.0,0.0,
0,4,4,635,2048.0,1433.6,0.7,7,True,0.0,0.0,
0,4,5,611,2048.0,1433.6,0.7,8,True,0.0,0.0,
0,4,6,617,2048.0,1433.6,0.7,9,True,0.0,0.0,
0,4,7,596,2048.0,1433.6,0.7,10,True,0.0,0.0,
0,4,8,649,2048.0,1433.6,0.7,11,True,0.0,0.0,
0,4,9,625,2048.0,1433.6,0.7,12,True,0.0,0.0,
0,4,10,627,2048.0,1433.6,0.7,13,True,0.0,0.0,
0,4,11,649,2048.0,1433.6,0.7,14,True,0.0,0.0,
0,4,12,644,2048.0,1433.6,0.7,15,True,0.0,0.0,
0,4,13,639,2048.0,1433.6,0.7,16,True,0.0,0.0,
0,4,14,665,2048.0,1433.6,0.7,17,True,0.0,0.0,
0,4,15,652,2048.0,1433.6,0.7,18,True,0.0,0.0,
0,4,16,645,2048.0,1433.6,0.7,19,True,0.0,0.0,
0,4,17,626,2048.0,1433.6,0.7,20,True,0.0,0.0,
0,4,18,581,2048.0,1433.6,0.7,21,True,0.0,0.0,
0,4,19,626,2048.0,1433.6,0.7,22,True,0.0,0.0,
0,4,20,613,2048.0,1433.6,0.7,23,True,0.0,0.0,
0,4,21,583,2048.0,1433.6,0.7,24,True,0.0,0.0,
0,4,22,558,2048.0,1433.6,0.7,25,True,0.0,0.0,
0,4,23,600,2048.0,1433.6,0.7,26,True,0.0,0.0,
0,4,24,645,2048.0,1433.6,0.7,27,True,0.0,0.0,
0,4,25,596,2048.0,1433.6,0.7,28,True,0.0,0.0,
0,4,26,634,2048.0,1433.6,0.7,29,True,0.0,0.0,
0,4,27,607,2048.0,1433.6,0.7,30,True,0.0,0.0,
0,4,28,607,2048.0,1433.6,0.7,31,True,0.0,0.0,
0,4,29,650,2048.0,1433.6,0.7,32,True,0.0,0.0,
0,4,30,622,2048.0,1433.6,0.7,33,True,0.0,0.0,
0,4,31,626,2048.0,1433.6,0.7,34,True,0.0,0.0,
0,4,32,643,2048.0,1433.6,0.7,35,True,0.0,0.0,
0,4,33,624,2048.0,1433.6,0.7,36,True,0.0,0.0,
0,4,34,631,2048.0,1433.6,0.7,37,True,0.0,0.0,
0,4,35,626,2048.0,1433.6,0.7,38,True,0.0,0.0,
0,4,36,633,2048.0,1433.6,0.7,39,True,0.0,0.0,
0,4,37,649,2048.0,1433.6,0.7,40,True,0.0,0.0,
0,4,38,653,2048.0,1433.6,0.7,41,True,0.0,0.0,
0,4,39,624,2048.0,1433.6,0.7,42,True,0.0,0.0,
0,4,40,604,2048.0,1433.6,0.7,43,True,0.0,0.0,
