simulation,d,c,n,target_n,lambda,q,t,converged,SpectralGapBefore,SpectralGapAfter,
0,4,0,294,1024.0,716.8,0.7,3,False,0.0,0.0,
0,4,1,305,1024.0,716.8,0.7,4,True,0.0,0.0,
0,4,2,312,1024.0,716.8,0.7,5,True,0.0,0.0,
0,4,3,303,1024.0,716.8,0.7,6,True,0.0,0.0,
0,4,4,283,1024.0,716.8,0.7,7,True,0.0,0.0,
0,4,5,308,1024.0,716.8,0.7,8,True,0.0,0.0,
0,4,6,310,1024.0,716.8,0.7,9,True,0.0,0.0,
0,4,7,318,1024.0,716.8,0.7,10,True,0.0,0.0,
0,4,8,307,1024.0,716.8,0.7,11,True,0.0,0.0,
0,4,9,284,1024.0,716.8,0.7,12,True,0.0,0.0,
0,4,10,293,1024.0,716.8,0.7,13,True,0.0,0.0,
0,4,11,320,1024.0,716.8,0.7,14,True,0.0,0.0,
0,4,12,316,1024.0,716.8,0.7,15,True,0.0,0.0,
0,4,13,303,1024.0,716.8,0.7,16,True,0.0,0.0,
0,4,14,292,1024.0,716.8,0.7,17,True,0.0,0.0,
0,4,15,297,1024.0,716.8,0.7,18,True,0.0,0.0,
0,4,16,309,1024.0,716.8,0.7,19,True,0.0,0.0,
0,4,17,301,1024.0,716.8,0.7,20,True,0.0,0.0,
0,4,18,328,1024.0,716.8,0.7,21,True,0.0,0.0,
0,4,19,327,1024.0,716.8,0.7,22,True,0.0,0.0,
0,4,20,304,1024.0,716.8,0.7,23,True,0.0,0.0,
0,4,21,302,1024.0,716.8,0.7,24,True,0.0,0.0,
0,4,22,296,1024.0,716.8,0.7,25,True,0.0,0.0,
0,4,23,305,1024.0,716.8,0.7,26,True,0.0,0.0,
0,4,24,312,1024.0,716.8,0.7,27,True,0.0,0.0,
0,4,25,324,1024.0,716.8,0.7,28,True,0.0,0.0,
0,4,26,315,1024.0,716.8,0.7,29,True,0.0,0.0,
0,4,27,308,1024.0,716.8,0.7,30,True,0.0,0.0,
0,4,28,278,1024.0,716.8,0.7,31,True,0.0,0.0,
0,4,29,277,1024.0,716.8,0.7,32,True,0.0,0.0,
0,4,30,284,1024.0,716.8,0.7,33,True,0.0,0.0,
0,4,31,308,1024.0,716.8,0.7,34,True,0.0,0.0,
0,4,32,318,1024.0,716.8,0.7,35,True,0.0,0.0,
0,4,33,282,1024.0,716.8,0.7,36,True,0.0,0.0,
0,4,34,313,1024.0,716.8,0.7,37,True,0.0,0.0,
0,4,35,276,1024.0,716.8,0.7,38,True,0.0,0.0,
0,4,36,288,1024.0,716.8,0.7,39,True,0.0,0.0,
0,4,37,335,1024.0,716.8,0.7,40,True,0.0,0.0,
0,4,38,296,1024.0,716.8,0.7,41,True,0.0,0.0,
0,4,39,312,1024.0,716.8,0.7,42,True,0.0,0.0,
0,4,40,331,1024.0,716.8,0.7,43,True,0.0,0.0,
0,4,41,332,1024.0,716.8,0.7,44,True,0.0,0.0,
0,4,42,307,1024.0,716.8,0.7,45,True,0.0,0.0,
0,4,43,312,1024.0,716.8,0.7,46,True,0.0,0.0,
0,4,44,319,1024.0,716.8,0.7,47,True,0.0,0.0,
0,4,45,330,1024.0,716.8,0.7,48,True,0.0,0.0,
0,4,46,286,1024.0,716.8,0.7,49,True,0.0,0.0,
0,4,47,312,1024.0,716.8,0.7,50,True,0.0,0.0,
0,4,48,333,1024.0,716.8,0.7,51,True,0.0,0.0,
