simulation,d,c,t,lambda,beta,n,entering_nodes,exiting_nodes,informed_nodes,uninformed_nodes,percentage_informed,t_flood,process_status,flood_status,initiator,
0,4,1.5,2,1433.6,0.7,2094,1495,1232,2,2092,0.0009551098376313276,1,True,None,6771,
0,4,1.5,3,1433.6,0.7,2075,1449,1468,0,2075,0.0,2,True,False,6771,
1,4,1.5,3,1433.6,0.7,2099,1467,1356,2,2097,0.0009528346831824678,1,True,None,8954,
1,4,1.5,4,1433.6,0.7,2022,1398,1475,19,2003,0.009396636993076163,2,True,None,8954,
1,4,1.5,5,1433.6,0.7,2059,1421,1384,57,2002,0.027683341427877612,3,True,None,8954,
1,4,1.5,6,1433.6,0.7,2063,1449,1445,157,1906,0.07610276296655356,4,True,None,8954,
1,4,1.5,7,1433.6,0.7,2038,1409,1434,328,1710,0.16094210009813542,5,True,None,8954,
1,4,1.5,8,1433.6,0.7,1989,1404,1453,710,1279,0.35696329813976874,6,True,None,8954,
1,4,1.5,9,1433.6,0.7,2058,1412,1343,1251,807,0.607871720116618,7,True,None,8954,
1,4,1.5,10,1433.6,0.7,2121,1515,1452,1698,423,0.8005657708628006,8,True,None,8954,
1,4,1.5,11,1433.6,0.7,2006,1386,1501,1862,144,0.9282153539381854,9,True,None,8954,
1,4,1.5,12,1433.6,0.7,2029,1437,1414,1932,97,0.9521931986200098,10,True,None,8954,
1,4,1.5,13,1433.6,0.7,2074,1460,1415,2010,64,0.9691417550626809,11,True,None,8954,
1,4,1.5,14,1433.6,0.7,2052,1444,1466,2002,50,0.9756335282651072,12,True,None,8954,
1,4,1.5,15,1433.6,0.7,1991,1382,1443,1946,45,0.9773982923154194,13,True,None,8954,
1,4,1.5,16,1433.6,0.7,2000,1402,1393,1969,31,0.9845,14,True,None,8954,
1,4,1.5,17,1433.6,0.7,2014,1401,1387,1968,46,0.9771598808341608,15,True,None,8954,
1,4,1.5,18,1433.6,0.7,2081,1465,1398,2009,72,0.9654012493993273,16,True,None,8954,
1,4,1.5,19,1433.6,0.7,2070,1417,1428,2026,44,0.978743961352657,17,True,None,8954,
1,4,1.5,20,1433.6,0.7,2018,1428,1480,1957,61,0.9697720515361744,18,True,None,8954,
1,4,1.5,21,1433.6,0.7,1994,1410,1434,1914,80,0.9598796389167502,19,True,None,8954,
1,4,1.5,22,1433.6,0.7,2020,1384,1358,1968,52,0.9742574257425742,20,True,None,8954,
1,4,1.5,23,1433.6,0.7,2055,1441,1406,2001,54,0.9737226277372263,21,True,None,8954,
1,4,1.5,24,1433.6,0.7,2140,1495,1410,2072,68,0.9682242990654205,22,True,None,8954,
1,4,1.5,25,1433.6,0.7,2090,1433,1483,2037,53,0.9746411483253589,23,True,None,8954,
1,4,1.5,26,1433.6,0.7,2093,1469,1466,2050,43,0.9794553272814143,24,True,None,8954,
1,4,1.5,27,1433.6,0.7,2058,1456,1491,1999,59,0.9713313896987367,25,True,None,8954,
1,4,1.5,28,1433.6,0.7,1985,1370,1443,1932,53,0.9732997481108312,26,True,None,8954,
1,4,1.5,29,1433.6,0.7,1976,1382,1391,1918,58,0.9706477732793523,27,True,None,8954,
1,4,1.5,30,1433.6,0.7,2049,1471,1398,1984,65,0.9682772083943387,28,True,None,8954,
1,4,1.5,31,1433.6,0.7,1935,1382,1496,1875,60,0.9689922480620154,29,True,None,8954,
1,4,1.5,32,1433.6,0.7,1998,1415,1352,1943,55,0.9724724724724725,30,True,None,8954,
1,4,1.5,33,1433.6,0.7,2062,1488,1424,1998,64,0.9689621726479146,31,True,None,8954,
1,4,1.5,34,1433.6,0.7,2087,1481,1456,2011,76,0.9635840919980834,32,True,None,8954,
1,4,1.5,35,1433.6,0.7,2038,1425,1474,1988,50,0.9754661432777233,33,True,None,8954,
1,4,1.5,36,1433.6,0.7,2016,1391,1413,1965,51,0.9747023809523809,34,True,None,8954,
1,4,1.5,37,1433.6,0.7,2020,1416,1412,1963,57,0.9717821782178218,35,True,None,8954,
1,4,1.5,38,1433.6,0.7,1999,1406,1427,1947,52,0.9739869934967483,36,True,None,8954,
1,4,1.5,39,1433.6,0.7,2027,1383,1355,1987,40,0.9802664035520473,37,True,None,8954,
1,4,1.5,40,1433.6,0.7,2095,1477,1409,2033,62,0.9704057279236277,38,True,None,8954,
1,4,1.5,41,1433.6,0.7,2078,1448,1465,2037,41,0.980269489894129,39,True,None,8954,
1,4,1.5,42,1433.6,0.7,2054,1433,1457,1994,60,0.9707887049659202,40,True,None,8954,
1,4,1.5,43,1433.6,0.7,1954,1332,1432,1912,42,0.9785056294779939,41,True,None,8954,
1,4,1.5,44,1433.6,0.7,2011,1420,1363,1957,54,0.9731476877175534,42,True,None,8954,
1,4,1.5,45,1433.6,0.7,2049,1440,1402,2004,45,0.9780380673499268,43,True,None,8954,
1,4,1.5,46,1433.6,0.7,2062,1415,1402,2015,47,0.9772065955383124,44,True,None,8954,
1,4,1.5,47,1433.6,0.7,2068,1435,1429,2024,44,0.9787234042553191,45,True,None,8954,
1,4,1.5,48,1433.6,0.7,2034,1399,1433,1993,41,0.97984267453294,46,True,None,8954,
1,4,1.5,49,1433.6,0.7,2000,1401,1435,1953,47,0.9765,47,True,None,8954,
1,4,1.5,50,1433.6,0.7,2101,1495,1394,2034,67,0.9681104236078059,48,True,None,8954,
1,4,1.5,51,1433.6,0.7,2055,1430,1476,2007,48,0.9766423357664233,49,True,None,8954,
1,4,1.5,52,1433.6,0.7,2079,1451,1427,2030,49,0.9764309764309764,50,True,None,8954,
1,4,1.5,53,1433.6,0.7,1967,1368,1480,1906,61,0.9689883070665989,51,True,None,8954,
1,4,1.5,54,1433.6,0.7,1996,1424,1395,1928,68,0.9659318637274549,52,True,None,8954,
1,4,1.5,55,1433.6,0.7,2024,1436,1408,1956,68,0.9664031620553359,53,True,None,8954,
1,4,1.5,56,1433.6,0.7,2036,1431,1419,1977,59,0.9710216110019646,54,True,None,8954,
1,4,1.5,57,1433.6,0.7,1966,1367,1437,1916,50,0.9745676500508647,55,True,None,8954,
1,4,1.5,58,1433.6,0.7,2024,1426,1368,1965,59,0.9708498023715415,56,True,None,8954,
1,4,1.5,59,1433.6,0.7,1995,1364,1393,1950,45,0.9774436090225563,57,True,None,8954,
1,4,1.5,60,1433.6,0.7,1988,1400,1407,1929,59,0.9703219315895373,58,True,None,8954,
