simulation,d,c,t,lambda,beta,n,entering_nodes,exiting_nodes,informed_nodes,uninformed_nodes,percentage_informed,t_flood,process_status,flood_status,initiator,
0,4,1.5,3,5734.4,0.7,8193,5787,5537,4,8189,0.00048822165263029415,1,True,None,38477,
0,4,1.5,4,5734.4,0.7,8102,5627,5718,14,8088,0.0017279684028634905,2,True,None,38477,
0,4,1.5,5,5734.4,0.7,8174,5748,5676,22,8152,0.0026914607291411794,3,True,None,38477,
0,4,1.5,6,5734.4,0.7,8246,5750,5678,61,8185,0.007397526073247635,4,True,None,38477,
0,4,1.5,7,5734.4,0.7,8109,5660,5797,116,7993,0.01430509310642496,5,True,None,38477,
0,4,1.5,8,5734.4,0.7,8238,5877,5748,288,7950,0.03495994173343044,6,True,None,38477,
0,4,1.5,9,5734.4,0.7,8326,5854,5766,573,7753,0.06882056209464328,7,True,None,38477,
0,4,1.5,10,5734.4,0.7,8292,5778,5812,1245,7047,0.15014471780028943,8,True,None,38477,
0,4,1.5,11,5734.4,0.7,8289,5764,5767,2407,5882,0.2903848473881047,9,True,None,38477,
0,4,1.5,12,5734.4,0.7,8122,5680,5847,4235,3887,0.5214232947549865,10,True,None,38477,
0,4,1.5,13,5734.4,0.7,8100,5666,5688,6117,1983,0.7551851851851852,11,True,None,38477,
0,4,1.5,14,5734.4,0.7,8155,5761,5706,7348,807,0.9010423053341509,12,True,None,38477,
0,4,1.5,15,5734.4,0.7,8167,5704,5692,7777,390,0.9522468470674667,13,True,None,38477,
0,4,1.5,16,5734.4,0.7,8125,5724,5766,7871,254,0.9687384615384615,14,True,None,38477,
0,4,1.5,17,5734.4,0.7,8173,5748,5700,7902,271,0.966842040866267,15,True,None,38477,
0,4,1.5,18,5734.4,0.7,8248,5788,5713,8010,238,0.9711445198836082,16,True,None,38477,
0,4,1.5,19,5734.4,0.7,8073,5584,5759,7854,219,0.9728725380899294,17,True,None,38477,
0,4,1.5,20,5734.4,0.7,7996,5662,5739,7729,267,0.966608304152076,18,True,None,38477,
0,4,1.5,21,5734.4,0.7,8112,5757,5641,7856,256,0.9684418145956607,19,True,None,38477,
0,4,1.5,22,5734.4,0.7,8199,5801,5714,7938,261,0.9681668496158068,20,True,None,38477,
0,4,1.5,23,5734.4,0.7,8129,5695,5765,7912,217,0.9733054496248001,21,True,None,38477,
0,4,1.5,24,5734.4,0.7,8172,5742,5699,7946,226,0.9723445912873225,22,True,None,38477,
0,4,1.5,25,5734.4,0.7,8281,5792,5683,8066,215,0.97403695205893,23,True,None,38477,
0,4,1.5,26,5734.4,0.7,8215,5700,5766,8020,195,0.9762629336579428,24,True,None,38477,
0,4,1.5,27,5734.4,0.7,8163,5658,5710,7973,190,0.976724243537915,25,True,None,38477,
0,4,1.5,28,5734.4,0.7,8277,5836,5722,8067,210,0.9746284885828198,26,True,None,38477,
0,4,1.5,29,5734.4,0.7,8196,5769,5850,7997,199,0.9757198633479747,27,True,None,38477,
0,4,1.5,30,5734.4,0.7,8295,5823,5724,8072,223,0.9731163351416516,28,True,None,38477,
0,4,1.5,31,5734.4,0.7,8234,5764,5825,8017,217,0.9736458586349284,29,True,None,38477,
0,4,1.5,32,5734.4,0.7,8180,5686,5740,7992,188,0.9770171149144254,30,True,None,38477,
0,4,1.5,33,5734.4,0.7,8206,5811,5785,7981,225,0.9725810382646843,31,True,None,38477,
0,4,1.5,34,5734.4,0.7,8213,5768,5761,7984,229,0.9721173748934616,32,True,None,38477,
0,4,1.5,35,5734.4,0.7,8099,5605,5719,7884,215,0.9734535127793554,33,True,None,38477,
0,4,1.5,36,5734.4,0.7,8132,5700,5667,7951,181,0.9777422528283325,34,True,None,38477,
0,4,1.5,37,5734.4,0.7,8104,5698,5726,7906,198,0.9755676209279368,35,True,None,38477,
0,4,1.5,38,5734.4,0.7,8102,5678,5680,7904,198,0.9755615897309307,36,True,None,38477,
