simulation,d,c,p,spectralGapBefore,spectralGapAfter,t,
0,4,1.5,1.0,0.3415748126410628,0.0,0,
0,4,1.5,1.0,0.33974434520280106,0.0,1,
0,4,1.5,1.0,0.34121145399558483,0.0,2,
0,4,1.5,1.0,0.3422250468361283,0.0,3,
0,4,1.5,1.0,0.3411719666886025,0.0,4,
0,4,1.5,1.0,0.34147177827589703,0.0,5,
0,4,1.5,1.0,0.34070834919028137,0.0,6,
0,4,1.5,1.0,0.34047646726419,0.0,7,
0,4,1.5,1.0,0.3383021635305672,0.0,8,
0,4,1.5,1.0,0.3405982413496387,0.0,9,
0,4,1.5,1.0,0.340751925129141,0.0,10,
0,4,1.5,1.0,0.3406450055757696,0.0,11,
0,4,1.5,1.0,0.3406425386173306,0.0,12,
0,4,1.5,1.0,0.3401467996423114,0.0,13,
0,4,1.5,1.0,0.34049177414932297,0.0,14,
0,4,1.5,1.0,0.3390737204819909,0.0,15,
0,4,1.5,1.0,0.3438265729386706,0.0,16,
0,4,1.5,1.0,0.34243086900822717,0.0,17,
0,4,1.5,1.0,0.3417604023112458,0.0,18,
0,4,1.5,1.0,0.3399486411219953,0.0,19,
0,4,1.5,1.0,0.3403608695064364,0.0,20,
0,4,1.5,1.0,0.34071177176650813,0.0,21,
0,4,1.5,1.0,0.34043105926347095,0.0,22,
0,4,1.5,1.0,0.3420132382496297,0.0,23,
0,4,1.5,1.0,0.3390788424544523,0.0,24,
0,4,1.5,1.0,0.3390467000919032,0.0,25,
0,4,1.5,1.0,0.3422144723474442,0.0,26,
0,4,1.5,1.0,0.3402465927550393,0.0,27,
0,4,1.5,1.0,0.3402576344265499,0.0,28,
0,4,1.5,1.0,0.3423247894376503,0.0,29,
0,4,1.5,1.0,0.3395037627119917,0.0,30,
0,4,1.5,1.0,0.34131109122267944,0.0,31,
0,4,1.5,1.0,0.3417814111922872,0.0,32,
0,4,1.5,1.0,0.34023567965564616,0.0,33,
0,4,1.5,1.0,0.34221222901824433,0.0,34,
0,4,1.5,1.0,0.34019003671721637,0.0,35,
0,4,1.5,1.0,0.34059058299894285,0.0,36,
0,4,1.5,1.0,0.342175100223168,0.0,37,
0,4,1.5,1.0,0.339867792596253,0.0,38,
0,4,1.5,1.0,0.33901355409118217,0.0,39,
0,4,1.5,1.0,0.340679887349262,0.0,40,
0,4,1.5,1.0,0.3405688135337088,0.0,41,
0,4,1.5,1.0,0.34183212853395584,0.0,42,
0,4,1.5,1.0,0.34120042493796243,0.0,43,
0,4,1.5,1.0,0.33984281853872955,0.0,44,
0,4,1.5,1.0,0.3404349679861137,0.0,45,
0,4,1.5,1.0,0.33996040479550693,0.0,46,
0,4,1.5,1.0,0.340407835973923,0.0,47,
0,4,1.5,1.0,0.3403044847091965,0.0,48,
0,4,1.5,1.0,0.34056240476511135,0.0,49,
0,4,1.5,1.0,0.3398027039034932,0.0,50,
0,4,1.5,1.0,0.340138154387303,0.0,51,
0,4,1.5,1.0,0.3409059053469006,0.0,52,
0,4,1.5,1.0,0.33915930884776657,0.0,53,
0,4,1.5,1.0,0.34136740034540825,0.0,54,
0,4,1.5,1.0,0.33946447417597636,0.0,55,
0,4,1.5,1.0,0.3390723823110955,0.0,56,
0,4,1.5,1.0,0.3379952482424782,0.0,57,
0,4,1.5,1.0,0.3383185938126466,0.0,58,
0,4,1.5,1.0,0.3412465926725632,0.0,59,
0,4,1.5,1.0,0.3400734505153693,0.0,60,
0,4,1.5,1.0,0.340224447117051,0.0,61,
0,4,1.5,1.0,0.3401181595792292,0.0,62,
0,4,1.5,1.0,0.3398695231089879,0.0,63,
0,4,1.5,1.0,0.34347306990008764,0.0,64,
0,4,1.5,1.0,0.33881595946092125,0.0,65,
0,4,1.5,1.0,0.34005031668558106,0.0,66,
0,4,1.5,1.0,0.3392959565255935,0.0,67,
0,4,1.5,1.0,0.33985086969186984,0.0,68,
0,4,1.5,1.0,0.3403605364698502,0.0,69,
0,4,1.5,1.0,0.34040242286758493,0.0,70,
0,4,1.5,1.0,0.3407994713562261,0.0,71,
0,4,1.5,1.0,0.3408485323583157,0.0,72,
0,4,1.5,1.0,0.33943051590593754,0.0,73,
0,4,1.5,1.0,0.3404254989051243,0.0,74,
0,4,1.5,1.0,0.3415859515210933,0.0,75,
0,4,1.5,1.0,0.3397436863157567,0.0,76,
0,4,1.5,1.0,0.33995805041533433,0.0,77,
0,4,1.5,1.0,0.34287606731760234,0.0,78,
0,4,1.5,1.0,0.3413468179915936,0.0,79,
0,4,1.5,1.0,0.33943649638662454,0.0,80,
0,4,1.5,1.0,0.34083484870778125,0.0,81,
0,4,1.5,1.0,0.3391914173994156,0.0,82,
0,4,1.5,1.0,0.34115526050543366,0.0,83,
0,4,1.5,1.0,0.34015653643590393,0.0,84,
0,4,1.5,1.0,0.34131112326504387,0.0,85,
0,4,1.5,1.0,0.34086496855327486,0.0,86,
0,4,1.5,1.0,0.33964652626071223,0.0,87,
0,4,1.5,1.0,0.3417234112332792,0.0,88,
0,4,1.5,1.0,0.3395990477860933,0.0,89,
0,4,1.5,1.0,0.339847979154849,0.0,90,
0,4,1.5,1.0,0.34204426995694803,0.0,91,
0,4,1.5,1.0,0.3397847552325691,0.0,92,
0,4,1.5,1.0,0.3405944926076785,0.0,93,
0,4,1.5,1.0,0.34136869290504424,0.0,94,
0,4,1.5,1.0,0.34183423004473634,0.0,95,
0,4,1.5,1.0,0.34105243351520653,0.0,96,
0,4,1.5,1.0,0.34052604702158384,0.0,97,
0,4,1.5,1.0,0.3420930056992464,0.0,98,
0,4,1.5,1.0,0.3410796416651444,0.0,99,
0,4,1.5,1.0,0.34033156987723734,0.0,100,
1,4,1.5,1.0,0.3411540704249818,0.0,0,
1,4,1.5,1.0,0.3412746399545865,0.0,1,
1,4,1.5,1.0,0.3414870645187369,0.0,2,
1,4,1.5,1.0,0.3415120998585174,0.0,3,
1,4,1.5,1.0,0.3404949864824074,0.0,4,
1,4,1.5,1.0,0.34134965984691623,0.0,5,
1,4,1.5,1.0,0.340259079722127,0.0,6,
1,4,1.5,1.0,0.33992356500938703,0.0,7,
1,4,1.5,1.0,0.33914877252652864,0.0,8,
1,4,1.5,1.0,0.34079541590332973,0.0,9,
1,4,1.5,1.0,0.3390900489797304,0.0,10,
1,4,1.5,1.0,0.3420738260799836,0.0,11,
1,4,1.5,1.0,0.3405596782948773,0.0,12,
1,4,1.5,1.0,0.3405500955811306,0.0,13,
1,4,1.5,1.0,0.3398298837212155,0.0,14,
1,4,1.5,1.0,0.34102225059501634,0.0,15,
1,4,1.5,1.0,0.3397467900233089,0.0,16,
1,4,1.5,1.0,0.33917197645008745,0.0,17,
1,4,1.5,1.0,0.33973590561927236,0.0,18,
1,4,1.5,1.0,0.34181332530665687,0.0,19,
1,4,1.5,1.0,0.3418829879110791,0.0,20,
1,4,1.5,1.0,0.34190612962447053,0.0,21,
1,4,1.5,1.0,0.3412308718966657,0.0,22,
1,4,1.5,1.0,0.3397813649687137,0.0,23,
1,4,1.5,1.0,0.340078183454102,0.0,24,
