simulation,d,c,t,lambda,beta,n,entering_nodes,exiting_nodes,informed_nodes,uninformed_nodes,percentage_informed,t_flood,process_status,flood_status,initiator,
0,4,1.5,39,51.2,0.1,520,60,51,5,515,0.009615384615384616,1,True,None,3493,
0,4,1.5,40,51.2,0.1,518,53,55,18,500,0.03474903474903475,2,True,None,3493,
0,4,1.5,41,51.2,0.1,530,49,37,70,460,0.1320754716981132,3,True,None,3493,
0,4,1.5,42,51.2,0.1,534,53,49,200,334,0.37453183520599254,4,True,None,3493,
0,4,1.5,43,51.2,0.1,532,45,47,449,83,0.8439849624060151,5,True,None,3493,
0,4,1.5,44,51.2,0.1,525,48,55,525,0,1.0,6,True,None,3493,
0,4,1.5,45,51.2,0.1,509,41,57,509,0,1.0,7,True,None,3493,
0,4,1.5,46,51.2,0.1,522,47,34,522,0,1.0,8,True,None,3493,
0,4,1.5,47,51.2,0.1,527,49,44,527,0,1.0,9,True,None,3493,
0,4,1.5,48,51.2,0.1,544,61,44,544,0,1.0,10,True,None,3493,
0,4,1.5,49,51.2,0.1,534,48,58,534,0,1.0,11,True,None,3493,
0,4,1.5,50,51.2,0.1,535,49,48,535,0,1.0,12,True,None,3493,
0,4,1.5,51,51.2,0.1,534,52,53,534,0,1.0,13,True,None,3493,
0,4,1.5,52,51.2,0.1,539,54,49,539,0,1.0,14,True,None,3493,
0,4,1.5,53,51.2,0.1,540,55,54,540,0,1.0,15,True,None,3493,
0,4,1.5,54,51.2,0.1,539,48,49,539,0,1.0,16,True,None,3493,
0,4,1.5,55,51.2,0.1,527,45,57,527,0,1.0,17,True,None,3493,
0,4,1.5,56,51.2,0.1,512,42,57,512,0,1.0,18,True,None,3493,
0,4,1.5,57,51.2,0.1,502,43,53,502,0,1.0,19,True,None,3493,
0,4,1.5,58,51.2,0.1,508,54,48,508,0,1.0,20,True,None,3493,
0,4,1.5,59,51.2,0.1,489,39,58,489,0,1.0,21,True,None,3493,
0,4,1.5,60,51.2,0.1,490,50,49,490,0,1.0,22,True,None,3493,
0,4,1.5,61,51.2,0.1,488,49,51,488,0,1.0,23,True,None,3493,
0,4,1.5,62,51.2,0.1,484,52,56,484,0,1.0,24,True,None,3493,
0,4,1.5,63,51.2,0.1,491,53,46,491,0,1.0,25,True,None,3493,
0,4,1.5,64,51.2,0.1,494,49,46,494,0,1.0,26,True,None,3493,
0,4,1.5,65,51.2,0.1,496,47,45,496,0,1.0,27,True,None,3493,
0,4,1.5,66,51.2,0.1,497,57,56,497,0,1.0,28,True,None,3493,
0,4,1.5,67,51.2,0.1,488,41,50,488,0,1.0,29,True,None,3493,
0,4,1.5,68,51.2,0.1,483,43,48,483,0,1.0,30,True,None,3493,
0,4,1.5,69,51.2,0.1,496,56,43,496,0,1.0,31,True,None,3493,
0,4,1.5,70,51.2,0.1,493,50,53,493,0,1.0,32,True,None,3493,
0,4,1.5,71,51.2,0.1,494,49,48,494,0,1.0,33,True,None,3493,
0,4,1.5,72,51.2,0.1,486,44,52,486,0,1.0,34,True,None,3493,
0,4,1.5,73,51.2,0.1,491,51,46,491,0,1.0,35,True,None,3493,
0,4,1.5,74,51.2,0.1,503,53,41,503,0,1.0,36,True,None,3493,
0,4,1.5,75,51.2,0.1,518,67,52,518,0,1.0,37,True,None,3493,
0,4,1.5,76,51.2,0.1,528,61,51,528,0,1.0,38,True,None,3493,
0,4,1.5,77,51.2,0.1,541,63,50,541,0,1.0,39,True,None,3493,
0,4,1.5,78,51.2,0.1,537,50,54,537,0,1.0,40,True,None,3493,
0,4,1.5,79,51.2,0.1,537,50,50,537,0,1.0,41,True,None,3493,
0,4,1.5,80,51.2,0.1,551,61,47,551,0,1.0,42,True,None,3493,
0,4,1.5,81,51.2,0.1,564,60,47,564,0,1.0,43,True,None,3493,
0,4,1.5,82,51.2,0.1,575,53,42,575,0,1.0,44,True,None,3493,
0,4,1.5,83,51.2,0.1,572,55,58,572,0,1.0,45,True,None,3493,
0,4,1.5,84,51.2,0.1,566,52,58,566,0,1.0,46,True,None,3493,
0,4,1.5,85,51.2,0.1,570,59,55,570,0,1.0,47,True,None,3493,
0,4,1.5,86,51.2,0.1,586,59,43,586,0,1.0,48,True,None,3493,
0,4,1.5,87,51.2,0.1,584,57,59,584,0,1.0,49,True,None,3493,
0,4,1.5,88,51.2,0.1,585,51,50,585,0,1.0,50,True,None,3493,
0,4,1.5,89,51.2,0.1,590,60,55,590,0,1.0,51,True,None,3493,
0,4,1.5,90,51.2,0.1,579,60,71,579,0,1.0,52,True,None,3493,
0,4,1.5,91,51.2,0.1,572,49,56,572,0,1.0,53,True,None,3493,
0,4,1.5,92,51.2,0.1,569,51,54,569,0,1.0,54,True,None,3493,
0,4,1.5,93,51.2,0.1,563,56,62,563,0,1.0,55,True,None,3493,
0,4,1.5,94,51.2,0.1,539,34,58,539,0,1.0,56,True,None,3493,
0,4,1.5,95,51.2,0.1,530,51,60,530,0,1.0,57,True,None,3493,
0,4,1.5,96,51.2,0.1,537,66,59,537,0,1.0,58,True,None,3493,
0,4,1.5,97,51.2,0.1,541,43,39,541,0,1.0,59,True,None,3493,
0,4,1.5,98,51.2,0.1,537,59,63,537,0,1.0,60,True,None,3493,
0,4,1.5,99,51.2,0.1,546,62,53,546,0,1.0,61,True,None,3493,
0,4,1.5,100,51.2,0.1,544,52,54,544,0,1.0,62,True,None,3493,
0,4,1.5,101,51.2,0.1,534,52,62,534,0,1.0,63,True,None,3493,
0,4,1.5,102,51.2,0.1,544,55,45,544,0,1.0,64,True,None,3493,
0,4,1.5,103,51.2,0.1,522,48,70,522,0,1.0,65,True,None,3493,
0,4,1.5,104,51.2,0.1,538,59,43,538,0,1.0,66,True,None,3493,
0,4,1.5,105,51.2,0.1,555,58,41,555,0,1.0,67,True,None,3493,
0,4,1.5,106,51.2,0.1,524,37,68,524,0,1.0,68,True,None,3493,
0,4,1.5,107,51.2,0.1,517,47,54,517,0,1.0,69,True,None,3493,
0,4,1.5,108,51.2,0.1,508,40,49,508,0,1.0,70,True,None,3493,
0,4,1.5,109,51.2,0.1,502,43,49,502,0,1.0,71,True,None,3493,
0,4,1.5,110,51.2,0.1,495,50,57,495,0,1.0,72,True,None,3493,
0,4,1.5,111,51.2,0.1,498,59,56,498,0,1.0,73,True,None,3493,
0,4,1.5,112,51.2,0.1,498,50,50,498,0,1.0,74,True,None,3493,
0,4,1.5,113,51.2,0.1,508,62,52,508,0,1.0,75,True,None,3493,
0,4,1.5,114,51.2,0.1,511,56,53,511,0,1.0,76,True,None,3493,
0,4,1.5,115,51.2,0.1,513,51,49,513,0,1.0,77,True,None,3493,
0,4,1.5,116,51.2,0.1,515,53,51,515,0,1.0,78,True,None,3493,
0,4,1.5,117,51.2,0.1,524,62,53,524,0,1.0,79,True,None,3493,
0,4,1.5,118,51.2,0.1,548,63,39,548,0,1.0,80,True,None,3493,
0,4,1.5,119,51.2,0.1,535,48,61,535,0,1.0,81,True,None,3493,
0,4,1.5,120,51.2,0.1,548,58,45,548,0,1.0,82,True,None,3493,
0,4,1.5,121,51.2,0.1,547,56,57,547,0,1.0,83,True,None,3493,
0,4,1.5,122,51.2,0.1,545,46,48,545,0,1.0,84,True,None,3493,
0,4,1.5,123,51.2,0.1,562,59,42,562,0,1.0,85,True,None,3493,
0,4,1.5,124,51.2,0.1,551,39,50,551,0,1.0,86,True,None,3493,
0,4,1.5,125,51.2,0.1,563,64,52,563,0,1.0,87,True,None,3493,
0,4,1.5,126,51.2,0.1,542,41,62,542,0,1.0,88,True,None,3493,
0,4,1.5,127,51.2,0.1,557,64,49,557,0,1.0,89,True,None,3493,
0,4,1.5,128,51.2,0.1,546,45,56,546,0,1.0,90,True,None,3493,
0,4,1.5,129,51.2,0.1,548,57,55,548,0,1.0,91,True,None,3493,
0,4,1.5,130,51.2,0.1,566,67,49,566,0,1.0,92,True,None,3493,
0,4,1.5,131,51.2,0.1,569,52,49,569,0,1.0,93,True,None,3493,
0,4,1.5,132,51.2,0.1,558,45,56,558,0,1.0,94,True,None,3493,
0,4,1.5,133,51.2,0.1,545,47,60,545,0,1.0,95,True,None,3493,
0,4,1.5,134,51.2,0.1,540,50,55,540,0,1.0,96,True,None,3493,
0,4,1.5,135,51.2,0.1,536,52,56,536,0,1.0,97,True,None,3493,
0,4,1.5,136,51.2,0.1,539,58,55,539,0,1.0,98,True,None,3493,
0,4,1.5,137,51.2,0.1,530,50,59,530,0,1.0,99,True,None,3493,
0,4,1.5,138,51.2,0.1,532,56,54,532,0,1.0,100,True,True,3493,
1,4,1.5,38,51.2,0.1,517,53,46,6,511,0.01160541586073501,1,True,None,3474,
1,4,1.5,39,51.2,0.1,515,58,60,24,491,0.04660194174757282,2,True,None,3474,
1,4,1.5,40,51.2,0.1,528,61,48,94,434,0.17803030303030304,3,True,None,3474,
1,4,1.5,41,51.2,0.1,535,48,41,287,248,0.5364485981308411,4,True,None,3474,
1,4,1.5,42,51.2,0.1,535,49,49,509,26,0.9514018691588785,5,True,None,3474,
1,4,1.5,43,51.2,0.1,516,41,60,516,0,1.0,6,True,None,3474,
1,4,1.5,44,51.2,0.1,506,46,56,506,0,1.0,7,True,None,3474,
1,4,1.5,45,51.2,0.1,501,51,56,501,0,1.0,8,True,None,3474,
1,4,1.5,46,51.2,0.1,488,44,57,488,0,1.0,9,True,None,3474,
1,4,1.5,47,51.2,0.1,496,58,50,496,0,1.0,10,True,None,3474,
1,4,1.5,48,51.2,0.1,510,64,50,510,0,1.0,11,True,None,3474,
1,4,1.5,49,51.2,0.1,494,51,67,494,0,1.0,12,True,None,3474,
1,4,1.5,50,51.2,0.1,505,54,43,505,0,1.0,13,True,None,3474,
1,4,1.5,51,51.2,0.1,529,63,39,529,0,1.0,14,True,None,3474,
1,4,1.5,52,51.2,0.1,523,37,43,523,0,1.0,15,True,None,3474,
1,4,1.5,53,51.2,0.1,527,56,52,527,0,1.0,16,True,None,3474,
1,4,1.5,54,51.2,0.1,541,60,46,541,0,1.0,17,True,None,3474,
1,4,1.5,55,51.2,0.1,527,45,59,527,0,1.0,18,True,None,3474,
1,4,1.5,56,51.2,0.1,528,47,46,528,0,1.0,19,True,None,3474,
1,4,1.5,57,51.2,0.1,522,48,54,522,0,1.0,20,True,None,3474,
1,4,1.5,58,51.2,0.1,526,48,44,526,0,1.0,21,True,None,3474,
