simulation,d,c,p,spectralGapBefore,spectralGapAfter,t,
0,4,1.5,0.0,0.33882333601752856,0.33882333601752856,0,
0,4,1.5,0.0,0.33998456976839886,0.33998456976839886,1,
0,4,1.5,0.0,0.3399887328513622,0.3399887328513622,2,
0,4,1.5,0.0,0.3445302616251056,0.3445302616251056,3,
0,4,1.5,0.0,0.3393115193505758,0.3393115193505758,4,
0,4,1.5,0.0,0.34112710994220163,0.34112710994220163,5,
0,4,1.5,0.0,0.342008522258628,0.342008522258628,6,
0,4,1.5,0.0,0.34003448399234815,0.34003448399234815,7,
0,4,1.5,0.0,0.3394670239167794,0.3394670239167794,8,
0,4,1.5,0.0,0.34152001410994515,0.34152001410994515,9,
0,4,1.5,0.0,0.33892005990046203,0.33892005990046203,10,
0,4,1.5,0.0,0.3421596096126671,0.3421596096126671,11,
0,4,1.5,0.0,0.33727474772504085,0.33727474772504085,12,
0,4,1.5,0.0,0.3406107920645177,0.3406107920645177,13,
0,4,1.5,0.0,0.33880676076754357,0.33880676076754357,14,
0,4,1.5,0.0,0.3383471845510737,0.3383471845510737,15,
0,4,1.5,0.0,0.3406057428137823,0.3406057428137823,16,
0,4,1.5,0.0,0.337929954509924,0.337929954509924,17,
0,4,1.5,0.0,0.3406264322244088,0.3406264322244088,18,
0,4,1.5,0.0,0.3410318331080954,0.3410318331080954,19,
0,4,1.5,0.0,0.3404677367346922,0.3404677367346922,20,
0,4,1.5,0.0,0.33795760195317703,0.33795760195317703,21,
0,4,1.5,0.0,0.3387465573072874,0.3387465573072874,22,
0,4,1.5,0.0,0.3393621334183712,0.3393621334183712,23,
0,4,1.5,0.0,0.33754929167097103,0.33754929167097103,24,
0,4,1.5,0.0,0.3409980921239636,0.3409980921239636,25,
0,4,1.5,0.0,0.3410601476194617,0.3410601476194617,26,
0,4,1.5,0.0,0.34057977696980424,0.34057977696980424,27,
0,4,1.5,0.0,0.3401198053048671,0.3401198053048671,28,
0,4,1.5,0.0,0.3400847585623531,0.3400847585623531,29,
0,4,1.5,0.0,0.3395258448819509,0.3395258448819509,30,
0,4,1.5,0.0,0.340377049699617,0.340377049699617,31,
0,4,1.5,0.0,0.3385896495607683,0.3385896495607683,32,
0,4,1.5,0.0,0.34080718586061154,0.34080718586061154,33,
0,4,1.5,0.0,0.33862876663704733,0.33862876663704733,34,
0,4,1.5,0.0,0.33916759821246734,0.33916759821246734,35,
0,4,1.5,0.0,0.3416704383857725,0.3416704383857725,36,
0,4,1.5,0.0,0.3386029135112566,0.3386029135112566,37,
0,4,1.5,0.0,0.3398677702320049,0.3398677702320049,38,
0,4,1.5,0.0,0.3394910961712859,0.3394910961712859,39,
0,4,1.5,0.0,0.3407104184363421,0.3407104184363421,40,
0,4,1.5,0.0,0.33969104552801155,0.33969104552801155,41,
0,4,1.5,0.0,0.33866936136186676,0.33866936136186676,42,
0,4,1.5,0.0,0.34076849753754734,0.34076849753754734,43,
0,4,1.5,0.0,0.3390455909130691,0.3390455909130691,44,
0,4,1.5,0.0,0.3401636284984061,0.3401636284984061,45,
0,4,1.5,0.0,0.3406292369065187,0.3406292369065187,46,
0,4,1.5,0.0,0.34128210186040775,0.34128210186040775,47,
0,4,1.5,0.0,0.3420247802999381,0.3420247802999381,48,
0,4,1.5,0.0,0.34149751721633514,0.34149751721633514,49,
0,4,1.5,0.0,0.3356855019342593,0.3356855019342593,50,
0,4,1.5,0.0,0.3393767655944796,0.3393767655944796,51,
0,4,1.5,0.0,0.3408383065193442,0.3408383065193442,52,
0,4,1.5,0.0,0.33851036464197315,0.33851036464197315,53,
0,4,1.5,0.0,0.3403253511817309,0.3403253511817309,54,
0,4,1.5,0.0,0.33977782283295055,0.33977782283295055,55,
0,4,1.5,0.0,0.34061477064979007,0.34061477064979007,56,
0,4,1.5,0.0,0.3409035612420541,0.3409035612420541,57,
0,4,1.5,0.0,0.3366685233877518,0.3366685233877518,58,
0,4,1.5,0.0,0.33959776937149855,0.33959776937149855,59,
0,4,1.5,0.0,0.34215793160845887,0.34215793160845887,60,
0,4,1.5,0.0,0.3385527916611484,0.3385527916611484,61,
0,4,1.5,0.0,0.343076099191136,0.343076099191136,62,
0,4,1.5,0.0,0.33823717645780593,0.33823717645780593,63,
0,4,1.5,0.0,0.34329738895630924,0.34329738895630924,64,
0,4,1.5,0.0,0.3395590311268497,0.3395590311268497,65,
0,4,1.5,0.0,0.3381703872827081,0.3381703872827081,66,
0,4,1.5,0.0,0.3438965589406351,0.3438965589406351,67,
0,4,1.5,0.0,0.33900770657217605,0.33900770657217605,68,
0,4,1.5,0.0,0.3396068787795956,0.3396068787795956,69,
0,4,1.5,0.0,0.3409173604741259,0.3409173604741259,70,
0,4,1.5,0.0,0.3406110914378131,0.3406110914378131,71,
0,4,1.5,0.0,0.34140847204776914,0.34140847204776914,72,
0,4,1.5,0.0,0.3418451292981741,0.3418451292981741,73,
0,4,1.5,0.0,0.3396688606386107,0.3396688606386107,74,
0,4,1.5,0.0,0.3418713116116451,0.3418713116116451,75,
0,4,1.5,0.0,0.3421910184342657,0.3421910184342657,76,
0,4,1.5,0.0,0.3406165471268372,0.3406165471268372,77,
0,4,1.5,0.0,0.34020086236674196,0.34020086236674196,78,
0,4,1.5,0.0,0.34243872862808356,0.34243872862808356,79,
0,4,1.5,0.0,0.341255128513282,0.341255128513282,80,
0,4,1.5,0.0,0.3397112510337986,0.3397112510337986,81,
0,4,1.5,0.0,0.3410314691559956,0.3410314691559956,82,
0,4,1.5,0.0,0.3393995027305934,0.3393995027305934,83,
0,4,1.5,0.0,0.34250735512614117,0.34250735512614117,84,
0,4,1.5,0.0,0.34073308510961753,0.34073308510961753,85,
0,4,1.5,0.0,0.3389082540120133,0.3389082540120133,86,
0,4,1.5,0.0,0.3434914257740427,0.3434914257740427,87,
0,4,1.5,0.0,0.3444733264308433,0.3444733264308433,88,
0,4,1.5,0.0,0.3409206318855754,0.3409206318855754,89,
0,4,1.5,0.0,0.3424802787528971,0.3424802787528971,90,
0,4,1.5,0.0,0.33930633218217576,0.33930633218217576,91,
