simulation,d,c,t,lambda,beta,n,entering_nodes,exiting_nodes,informed_nodes,uninformed_nodes,percentage_informed,t_flood,process_status,flood_status,initiator,
0,4,1.5,14,307.2,0.3,1063,341,300,6,1057,0.005644402634054563,1,True,None,6314,
0,4,1.5,15,307.2,0.3,1025,306,344,27,998,0.026341463414634145,2,True,None,6314,
0,4,1.5,16,307.2,0.3,1016,297,306,103,913,0.10137795275590551,3,True,None,6314,
0,4,1.5,17,307.2,0.3,997,279,298,327,670,0.3279839518555667,4,True,None,6314,
0,4,1.5,18,307.2,0.3,984,288,301,710,274,0.7215447154471545,5,True,None,6314,
0,4,1.5,19,307.2,0.3,960,289,313,937,23,0.9760416666666667,6,True,None,6314,
0,4,1.5,20,307.2,0.3,1001,315,274,1001,0,1.0,7,True,None,6314,
0,4,1.5,21,307.2,0.3,1013,305,293,1013,0,1.0,8,True,None,6314,
0,4,1.5,22,307.2,0.3,1018,307,302,1018,0,1.0,9,True,None,6314,
0,4,1.5,23,307.2,0.3,989,300,329,989,0,1.0,10,True,None,6314,
0,4,1.5,24,307.2,0.3,997,317,309,997,0,1.0,11,True,None,6314,
0,4,1.5,25,307.2,0.3,1017,315,295,1017,0,1.0,12,True,None,6314,
0,4,1.5,26,307.2,0.3,1020,284,281,1020,0,1.0,13,True,None,6314,
0,4,1.5,27,307.2,0.3,1023,310,307,1023,0,1.0,14,True,None,6314,
0,4,1.5,28,307.2,0.3,1022,309,310,1022,0,1.0,15,True,None,6314,
0,4,1.5,29,307.2,0.3,1017,296,301,1017,0,1.0,16,True,None,6314,
0,4,1.5,30,307.2,0.3,1017,318,318,1017,0,1.0,17,True,None,6314,
0,4,1.5,31,307.2,0.3,1028,307,296,1028,0,1.0,18,True,None,6314,
0,4,1.5,32,307.2,0.3,1044,314,298,1044,0,1.0,19,True,None,6314,
0,4,1.5,33,307.2,0.3,1024,300,320,1024,0,1.0,20,True,None,6314,
0,4,1.5,34,307.2,0.3,1017,282,289,1017,0,1.0,21,True,None,6314,
0,4,1.5,35,307.2,0.3,1053,332,296,1053,0,1.0,22,True,None,6314,
0,4,1.5,36,307.2,0.3,1087,336,302,1087,0,1.0,23,True,None,6314,
0,4,1.5,37,307.2,0.3,1070,308,325,1070,0,1.0,24,True,None,6314,
0,4,1.5,38,307.2,0.3,1026,281,325,1026,0,1.0,25,True,None,6314,
0,4,1.5,39,307.2,0.3,1014,311,323,1014,0,1.0,26,True,None,6314,
0,4,1.5,40,307.2,0.3,1018,308,304,1018,0,1.0,27,True,None,6314,
0,4,1.5,41,307.2,0.3,1000,295,313,1000,0,1.0,28,True,None,6314,
0,4,1.5,42,307.2,0.3,1039,327,288,1039,0,1.0,29,True,None,6314,
0,4,1.5,43,307.2,0.3,1043,298,294,1043,0,1.0,30,True,None,6314,
0,4,1.5,44,307.2,0.3,1092,325,276,1092,0,1.0,31,True,None,6314,
0,4,1.5,45,307.2,0.3,1042,278,328,1042,0,1.0,32,True,None,6314,
0,4,1.5,46,307.2,0.3,1021,282,303,1021,0,1.0,33,True,None,6314,
0,4,1.5,47,307.2,0.3,1020,324,325,1020,0,1.0,34,True,None,6314,
0,4,1.5,48,307.2,0.3,978,257,299,978,0,1.0,35,True,None,6314,
0,4,1.5,49,307.2,0.3,1018,336,296,1017,1,0.9990176817288802,36,True,None,6314,
0,4,1.5,50,307.2,0.3,1052,363,329,1052,0,1.0,37,True,None,6314,
0,4,1.5,51,307.2,0.3,999,283,336,999,0,1.0,38,True,None,6314,
0,4,1.5,52,307.2,0.3,996,301,304,996,0,1.0,39,True,None,6314,
0,4,1.5,53,307.2,0.3,981,306,321,981,0,1.0,40,True,None,6314,
0,4,1.5,54,307.2,0.3,924,259,316,924,0,1.0,41,True,None,6314,
0,4,1.5,55,307.2,0.3,934,285,275,934,0,1.0,42,True,None,6314,
0,4,1.5,56,307.2,0.3,936,290,288,936,0,1.0,43,True,None,6314,
0,4,1.5,57,307.2,0.3,989,336,283,989,0,1.0,44,True,None,6314,
0,4,1.5,58,307.2,0.3,996,294,287,996,0,1.0,45,True,None,6314,
0,4,1.5,59,307.2,0.3,1013,312,295,1013,0,1.0,46,True,None,6314,
0,4,1.5,60,307.2,0.3,1036,288,265,1036,0,1.0,47,True,None,6314,
0,4,1.5,61,307.2,0.3,1031,276,281,1031,0,1.0,48,True,None,6314,
0,4,1.5,62,307.2,0.3,1003,293,321,1003,0,1.0,49,True,None,6314,
0,4,1.5,63,307.2,0.3,998,290,295,998,0,1.0,50,True,None,6314,
0,4,1.5,64,307.2,0.3,1016,320,302,1016,0,1.0,51,True,None,6314,
0,4,1.5,65,307.2,0.3,1055,329,290,1055,0,1.0,52,True,None,6314,
0,4,1.5,66,307.2,0.3,1043,298,310,1043,0,1.0,53,True,None,6314,
0,4,1.5,67,307.2,0.3,1030,321,334,1030,0,1.0,54,True,None,6314,
0,4,1.5,68,307.2,0.3,1016,305,319,1016,0,1.0,55,True,None,6314,
0,4,1.5,69,307.2,0.3,999,288,305,999,0,1.0,56,True,None,6314,
0,4,1.5,70,307.2,0.3,1004,302,297,1004,0,1.0,57,True,None,6314,
0,4,1.5,71,307.2,0.3,1008,311,307,1008,0,1.0,58,True,None,6314,
0,4,1.5,72,307.2,0.3,1040,325,293,1040,0,1.0,59,True,None,6314,
0,4,1.5,73,307.2,0.3,1027,281,294,1026,1,0.9990262901655307,60,True,None,6314,
0,4,1.5,74,307.2,0.3,1042,303,288,1042,0,1.0,61,True,None,6314,
0,4,1.5,75,307.2,0.3,1039,326,329,1039,0,1.0,62,True,None,6314,
0,4,1.5,76,307.2,0.3,1012,288,315,1012,0,1.0,63,True,None,6314,
0,4,1.5,77,307.2,0.3,1016,290,286,1016,0,1.0,64,True,None,6314,
0,4,1.5,78,307.2,0.3,1049,343,310,1049,0,1.0,65,True,None,6314,
0,4,1.5,79,307.2,0.3,1054,332,327,1054,0,1.0,66,True,None,6314,
0,4,1.5,80,307.2,0.3,995,263,322,995,0,1.0,67,True,None,6314,
0,4,1.5,81,307.2,0.3,1013,302,284,1013,0,1.0,68,True,None,6314,
0,4,1.5,82,307.2,0.3,963,270,320,963,0,1.0,69,True,None,6314,
0,4,1.5,83,307.2,0.3,980,308,291,980,0,1.0,70,True,None,6314,
0,4,1.5,84,307.2,0.3,965,301,316,965,0,1.0,71,True,None,6314,
0,4,1.5,85,307.2,0.3,1021,348,292,1021,0,1.0,72,True,None,6314,
0,4,1.5,86,307.2,0.3,1035,297,283,1035,0,1.0,73,True,None,6314,
0,4,1.5,87,307.2,0.3,991,273,317,991,0,1.0,74,True,None,6314,
0,4,1.5,88,307.2,0.3,1018,310,283,1018,0,1.0,75,True,None,6314,
0,4,1.5,89,307.2,0.3,959,271,330,959,0,1.0,76,True,None,6314,
0,4,1.5,90,307.2,0.3,971,300,288,970,1,0.9989701338825953,77,True,None,6314,
0,4,1.5,91,307.2,0.3,993,311,289,993,0,1.0,78,True,None,6314,
0,4,1.5,92,307.2,0.3,988,284,289,988,0,1.0,79,True,None,6314,
0,4,1.5,93,307.2,0.3,1069,347,266,1068,1,0.9990645463049579,80,True,None,6314,
0,4,1.5,94,307.2,0.3,1054,311,326,1054,0,1.0,81,True,None,6314,
0,4,1.5,95,307.2,0.3,1054,309,309,1054,0,1.0,82,True,None,6314,
0,4,1.5,96,307.2,0.3,1039,291,306,1039,0,1.0,83,True,None,6314,
0,4,1.5,97,307.2,0.3,1054,301,286,1054,0,1.0,84,True,None,6314,
0,4,1.5,98,307.2,0.3,1007,296,343,1007,0,1.0,85,True,None,6314,
0,4,1.5,99,307.2,0.3,1029,327,305,1029,0,1.0,86,True,None,6314,
0,4,1.5,100,307.2,0.3,1039,310,300,1039,0,1.0,87,True,None,6314,
0,4,1.5,101,307.2,0.3,1071,329,297,1071,0,1.0,88,True,None,6314,
0,4,1.5,102,307.2,0.3,1029,298,340,1029,0,1.0,89,True,None,6314,
0,4,1.5,103,307.2,0.3,1000,292,321,1000,0,1.0,90,True,None,6314,
0,4,1.5,104,307.2,0.3,974,275,301,974,0,1.0,91,True,None,6314,
0,4,1.5,105,307.2,0.3,976,299,297,975,1,0.9989754098360656,92,True,None,6314,
0,4,1.5,106,307.2,0.3,986,304,294,986,0,1.0,93,True,None,6314,
0,4,1.5,107,307.2,0.3,1023,319,282,1023,0,1.0,94,True,None,6314,
0,4,1.5,108,307.2,0.3,1051,331,303,1051,0,1.0,95,True,None,6314,
0,4,1.5,109,307.2,0.3,1021,299,329,1021,0,1.0,96,True,None,6314,
0,4,1.5,110,307.2,0.3,1000,303,324,999,1,0.999,97,True,None,6314,
0,4,1.5,111,307.2,0.3,1055,351,296,1055,0,1.0,98,True,None,6314,
0,4,1.5,112,307.2,0.3,1022,275,308,1022,0,1.0,99,True,None,6314,
0,4,1.5,113,307.2,0.3,1023,309,308,1023,0,1.0,100,True,True,6314,
1,4,1.5,16,307.2,0.3,1037,352,293,4,1033,0.003857280617164899,1,True,None,9174,
1,4,1.5,17,307.2,0.3,1012,277,302,12,1000,0.011857707509881422,2,True,None,9174,
1,4,1.5,18,307.2,0.3,1026,302,288,48,978,0.04678362573099415,3,True,None,9174,
1,4,1.5,19,307.2,0.3,1024,312,314,182,842,0.177734375,4,True,None,9174,
1,4,1.5,20,307.2,0.3,1040,337,321,535,505,0.5144230769230769,5,True,None,9174,
1,4,1.5,21,307.2,0.3,1050,325,315,965,85,0.919047619047619,6,True,None,9174,
1,4,1.5,22,307.2,0.3,1050,327,327,1048,2,0.9980952380952381,7,True,None,9174,
1,4,1.5,23,307.2,0.3,1048,316,318,1047,1,0.9990458015267175,8,True,None,9174,
1,4,1.5,24,307.2,0.3,1039,319,328,1039,0,1.0,9,True,None,9174,
1,4,1.5,25,307.2,0.3,1045,296,290,1044,1,0.999043062200957,10,True,None,9174,
1,4,1.5,26,307.2,0.3,1046,322,321,1046,0,1.0,11,True,None,9174,
1,4,1.5,27,307.2,0.3,1057,305,294,1057,0,1.0,12,True,None,9174,
1,4,1.5,28,307.2,0.3,1077,333,313,1077,0,1.0,13,True,None,9174,
1,4,1.5,29,307.2,0.3,1034,290,333,1034,0,1.0,14,True,None,9174,
1,4,1.5,30,307.2,0.3,1047,325,312,1046,1,0.9990448901623686,15,True,None,9174,
1,4,1.5,31,307.2,0.3,1079,338,306,1079,0,1.0,16,True,None,9174,
1,4,1.5,32,307.2,0.3,1098,321,302,1098,0,1.0,17,True,None,9174,
1,4,1.5,33,307.2,0.3,1077,296,317,1077,0,1.0,18,True,None,9174,
1,4,1.5,34,307.2,0.3,995,276,358,994,1,0.9989949748743718,19,True,None,9174,
1,4,1.5,35,307.2,0.3,988,288,295,988,0,1.0,20,True,None,9174,
1,4,1.5,36,307.2,0.3,969,290,309,969,0,1.0,21,True,None,9174,
1,4,1.5,37,307.2,0.3,991,315,293,991,0,1.0,22,True,None,9174,
1,4,1.5,38,307.2,0.3,956,277,312,955,1,0.9989539748953975,23,True,None,9174,
1,4,1.5,39,307.2,0.3,945,282,293,945,0,1.0,24,True,None,9174,
1,4,1.5,40,307.2,0.3,983,310,272,983,0,1.0,25,True,None,9174,
1,4,1.5,41,307.2,0.3,996,311,298,996,0,1.0,26,True,None,9174,
1,4,1.5,42,307.2,0.3,1075,350,271,1075,0,1.0,27,True,None,9174,
1,4,1.5,43,307.2,0.3,1070,312,317,1070,0,1.0,28,True,None,9174,
1,4,1.5,44,307.2,0.3,1033,295,332,1033,0,1.0,29,True,None,9174,
1,4,1.5,45,307.2,0.3,1017,313,329,1017,0,1.0,30,True,None,9174,
1,4,1.5,46,307.2,0.3,1050,338,305,1050,0,1.0,31,True,None,9174,
1,4,1.5,47,307.2,0.3,1046,300,304,1045,1,0.9990439770554493,32,True,None,9174,
1,4,1.5,48,307.2,0.3,1039,301,308,1039,0,1.0,33,True,None,9174,
1,4,1.5,49,307.2,0.3,992,292,339,992,0,1.0,34,True,None,9174,
1,4,1.5,50,307.2,0.3,981,315,326,981,0,1.0,35,True,None,9174,
1,4,1.5,51,307.2,0.3,991,318,308,990,1,0.9989909182643795,36,True,None,9174,
1,4,1.5,52,307.2,0.3,990,315,316,990,0,1.0,37,True,None,9174,
1,4,1.5,53,307.2,0.3,1043,337,284,1043,0,1.0,38,True,None,9174,
1,4,1.5,54,307.2,0.3,1045,327,325,1045,0,1.0,39,True,None,9174,
1,4,1.5,55,307.2,0.3,1037,297,305,1037,0,1.0,40,True,None,9174,
1,4,1.5,56,307.2,0.3,1036,304,305,1036,0,1.0,41,True,None,9174,
1,4,1.5,57,307.2,0.3,1043,324,317,1043,0,1.0,42,True,None,9174,
