simulation,d,c,n,target_n,lambda,q,t,converged,SpectralGapBefore,SpectralGapAfter,
0,4,0,35,512.0,460.8,0.9,1,False,0.0,0.0,
0,4,1,60,512.0,460.8,0.9,2,True,0.0,0.0,
0,4,2,45,512.0,460.8,0.9,3,True,0.0,0.0,
0,4,3,45,512.0,460.8,0.9,4,True,0.0,0.0,
0,4,4,57,512.0,460.8,0.9,5,True,0.0,0.0,
0,4,5,59,512.0,460.8,0.9,6,True,0.0,0.0,
0,4,6,50,512.0,460.8,0.9,7,True,0.0,0.0,
0,4,7,57,512.0,460.8,0.9,8,True,0.0,0.0,
0,4,8,60,512.0,460.8,0.9,9,True,0.0,0.0,
0,4,9,64,512.0,460.8,0.9,10,True,0.0,0.0,
0,4,10,47,512.0,460.8,0.9,11,True,0.0,0.0,
0,4,11,54,512.0,460.8,0.9,12,True,0.0,0.0,
0,4,12,47,512.0,460.8,0.9,13,True,0.0,0.0,
0,4,13,59,512.0,460.8,0.9,14,True,0.0,0.0,
0,4,14,54,512.0,460.8,0.9,15,True,0.0,0.0,
0,4,15,47,512.0,460.8,0.9,16,True,0.0,0.0,
0,4,16,40,512.0,460.8,0.9,17,True,0.0,0.0,
0,4,17,49,512.0,460.8,0.9,18,True,0.0,0.0,
0,4,18,46,512.0,460.8,0.9,19,True,0.0,0.0,
0,4,19,49,512.0,460.8,0.9,20,True,0.0,0.0,
0,4,20,50,512.0,460.8,0.9,21,True,0.0,0.0,
0,4,21,58,512.0,460.8,0.9,22,True,0.0,0.0,
0,4,22,44,512.0,460.8,0.9,23,True,0.0,0.0,
0,4,23,47,512.0,460.8,0.9,24,True,0.0,0.0,
0,4,24,48,512.0,460.8,0.9,25,True,0.0,0.0,
0,4,25,54,512.0,460.8,0.9,26,True,0.0,0.0,
0,4,26,54,512.0,460.8,0.9,27,True,0.0,0.0,
0,4,27,51,512.0,460.8,0.9,28,True,0.0,0.0,
0,4,28,43,512.0,460.8,0.9,29,True,0.0,0.0,
0,4,29,65,512.0,460.8,0.9,30,True,0.0,0.0,
0,4,30,63,512.0,460.8,0.9,31,True,0.0,0.0,
0,4,31,55,512.0,460.8,0.9,32,True,0.0,0.0,
0,4,32,50,512.0,460.8,0.9,33,True,0.0,0.0,
0,4,33,46,512.0,460.8,0.9,34,True,0.0,0.0,
0,4,34,45,512.0,460.8,0.9,35,True,0.0,0.0,
0,4,35,51,512.0,460.8,0.9,36,True,0.0,0.0,
0,4,36,46,512.0,460.8,0.9,37,True,0.0,0.0,
0,4,37,54,512.0,460.8,0.9,38,True,0.0,0.0,
0,4,38,55,512.0,460.8,0.9,39,True,0.0,0.0,
0,4,39,53,512.0,460.8,0.9,40,True,0.0,0.0,
0,4,40,51,512.0,460.8,0.9,41,True,0.0,0.0,
0,4,41,46,512.0,460.8,0.9,42,True,0.0,0.0,
0,4,42,52,512.0,460.8,0.9,43,True,0.0,0.0,
0,4,43,63,512.0,460.8,0.9,44,True,0.0,0.0,
0,4,44,42,512.0,460.8,0.9,45,True,0.0,0.0,
0,4,45,60,512.0,460.8,0.9,46,True,0.0,0.0,
0,4,46,55,512.0,460.8,0.9,47,True,0.0,0.0,
0,4,47,57,512.0,460.8,0.9,48,True,0.0,0.0,
0,4,48,48,512.0,460.8,0.9,49,True,0.0,0.0,
0,4,49,54,512.0,460.8,0.9,50,True,0.0,0.0,
0,4,50,50,512.0,460.8,0.9,51,True,0.0,0.0,
0,4,51,49,512.0,460.8,0.9,52,True,0.0,0.0,
0,4,52,49,512.0,460.8,0.9,53,True,0.0,0.0,
0,4,53,50,512.0,460.8,0.9,54,True,0.0,0.0,
0,4,54,43,512.0,460.8,0.9,55,True,0.0,0.0,
0,4,55,56,512.0,460.8,0.9,56,True,0.0,0.0,
0,4,56,61,512.0,460.8,0.9,57,True,0.0,0.0,
0,4,57,36,512.0,460.8,0.9,58,True,0.0,0.0,
0,4,58,52,512.0,460.8,0.9,59,True,0.0,0.0,
0,4,59,52,512.0,460.8,0.9,60,True,0.0,0.0,
0,4,60,43,512.0,460.8,0.9,61,True,0.0,0.0,
0,4,61,41,512.0,460.8,0.9,62,True,0.0,0.0,
0,4,62,49,512.0,460.8,0.9,63,True,0.0,0.0,
0,4,63,65,512.0,460.8,0.9,64,True,0.0,0.0,
0,4,64,54,512.0,460.8,0.9,65,True,0.0,0.0,
0,4,65,54,512.0,460.8,0.9,66,True,0.0,0.0,
0,4,66,61,512.0,460.8,0.9,67,True,0.0,0.0,
0,4,67,40,512.0,460.8,0.9,68,True,0.0,0.0,
0,4,68,58,512.0,460.8,0.9,69,True,0.0,0.0,
0,4,69,57,512.0,460.8,0.9,70,True,0.0,0.0,
0,4,70,53,512.0,460.8,0.9,71,True,0.0,0.0,
0,4,71,64,512.0,460.8,0.9,72,True,0.0,0.0,
0,4,72,56,512.0,460.8,0.9,73,True,0.0,0.0,
0,4,73,60,512.0,460.8,0.9,74,True,0.0,0.0,
0,4,74,63,512.0,460.8,0.9,75,True,0.0,0.0,
0,4,75,49,512.0,460.8,0.9,76,True,0.0,0.0,
0,4,76,52,512.0,460.8,0.9,77,True,0.0,0.0,
0,4,77,46,512.0,460.8,0.9,78,True,0.0,0.0,
0,4,78,32,512.0,460.8,0.9,79,True,0.0,0.0,
0,4,79,54,512.0,460.8,0.9,80,True,0.0,0.0,
0,4,80,56,512.0,460.8,0.9,81,True,0.0,0.0,
0,4,81,62,512.0,460.8,0.9,82,True,0.0,0.0,
0,4,82,59,512.0,460.8,0.9,83,True,0.0,0.0,
0,4,83,58,512.0,460.8,0.9,84,True,0.0,0.0,
0,4,84,49,512.0,460.8,0.9,85,True,0.0,0.0,
0,4,85,46,512.0,460.8,0.9,86,True,0.0,0.0,
0,4,86,36,512.0,460.8,0.9,87,True,0.0,0.0,
0,4,87,49,512.0,460.8,0.9,88,True,0.0,0.0,
0,4,88,60,512.0,460.8,0.9,89,True,0.0,0.0,
0,4,89,45,512.0,460.8,0.9,90,True,0.0,0.0,
0,4,90,46,512.0,460.8,0.9,91,True,0.0,0.0,
0,4,91,52,512.0,460.8,0.9,92,True,0.0,0.0,
0,4,92,58,512.0,460.8,0.9,93,True,0.0,0.0,
0,4,93,48,512.0,460.8,0.9,94,True,0.0,0.0,
0,4,94,44,512.0,460.8,0.9,95,True,0.0,0.0,
0,4,95,60,512.0,460.8,0.9,96,True,0.0,0.0,
0,4,96,48,512.0,460.8,0.9,97,True,0.0,0.0,
0,4,97,46,512.0,460.8,0.9,98,True,0.0,0.0,
0,4,98,59,512.0,460.8,0.9,99,True,0.0,0.0,
0,4,99,50,512.0,460.8,0.9,100,True,0.0,0.0,
0,4,100,47,512.0,460.8,0.9,101,True,0.0,0.0,
1,4,0,58,512.0,460.8,0.9,2,False,0.0,0.0,
1,4,1,65,512.0,460.8,0.9,3,True,0.0,0.0,
1,4,2,63,512.0,460.8,0.9,4,True,0.0,0.0,
1,4,3,64,512.0,460.8,0.9,5,True,0.0,0.0,
1,4,4,58,512.0,460.8,0.9,6,True,0.0,0.0,
1,4,5,48,512.0,460.8,0.9,7,True,0.0,0.0,
1,4,6,48,512.0,460.8,0.9,8,True,0.0,0.0,
1,4,7,52,512.0,460.8,0.9,9,True,0.0,0.0,
1,4,8,48,512.0,460.8,0.9,10,True,0.0,0.0,
1,4,9,45,512.0,460.8,0.9,11,True,0.0,0.0,
1,4,10,53,512.0,460.8,0.9,12,True,0.0,0.0,
1,4,11,46,512.0,460.8,0.9,13,True,0.0,0.0,
1,4,12,56,512.0,460.8,0.9,14,True,0.0,0.0,
1,4,13,40,512.0,460.8,0.9,15,True,0.0,0.0,
1,4,14,61,512.0,460.8,0.9,16,True,0.0,0.0,
1,4,15,49,512.0,460.8,0.9,17,True,0.0,0.0,
1,4,16,52,512.0,460.8,0.9,18,True,0.0,0.0,
