simulation,d,c,p,spectralGapBefore,spectralGapAfter,t,
0,4,1.5,0.05,0.3434252401789346,0.3298714695480659,0,
0,4,1.5,0.05,0.33260968647692246,0.30929802765423764,1,
0,4,1.5,0.05,0.3163211999593948,0.29885042872089895,2,
0,4,1.5,0.05,0.3011435723344258,0.29177390456299457,3,
0,4,1.5,0.05,0.2818982011343506,0.2759762480372767,4,
0,4,1.5,0.05,0.27378969203834325,0.25411844816197804,5,
0,4,1.5,0.05,0.2644269361387497,0.24887102953272078,6,
0,4,1.5,0.05,0.25655832610394025,0.24116966259280104,7,
0,4,1.5,0.05,0.24470376577820652,0.22735701679485865,8,
0,4,1.5,0.05,0.23658160089950075,0.22515792777124222,9,
0,4,1.5,0.05,0.2257530295461807,0.21224818051367877,10,
0,4,1.5,0.05,0.2200222590574462,0.20505385742521676,11,
0,4,1.5,0.05,0.21848090215404203,0.2009642338466735,12,
0,4,1.5,0.05,0.21358274424892398,0.19676003297816558,13,
0,4,1.5,0.05,0.20902521104335725,0.1949547468279621,14,
0,4,1.5,0.05,0.20851419955239137,0.19414350641807543,15,
0,4,1.5,0.05,0.2063510767423764,0.18498405755894154,16,
0,4,1.5,0.05,0.20975263321211912,0.19267674893332432,17,
0,4,1.5,0.05,0.20394817111175811,0.18418331331117233,18,
0,4,1.5,0.05,0.20267503780018403,0.18904159820880018,19,
0,4,1.5,0.05,0.20456995522062238,0.0,20,
0,4,1.5,0.05,0.2000463296917292,0.18139849695281485,21,
0,4,1.5,0.05,0.19468529643611265,0.1712446098805982,22,
0,4,1.5,0.05,0.19447089965317532,0.18219604188091165,23,
0,4,1.5,0.05,0.19770337369694824,0.17706177025605985,24,
0,4,1.5,0.05,0.19004735627740965,0.18251649760113708,25,
0,4,1.5,0.05,0.19318572438532677,0.17958665552947195,26,
0,4,1.5,0.05,0.1955058110541732,0.16981368246987205,27,
0,4,1.5,0.05,0.18722433355923407,0.1709984150046594,28,
0,4,1.5,0.05,0.18831331007327778,0.16989381192148922,29,
0,4,1.5,0.05,0.18900482884832392,0.1693828492889795,30,
0,4,1.5,0.05,0.1860670199058323,0.1682571502307061,31,
0,4,1.5,0.05,0.18789370804414485,0.1731217727163169,32,
0,4,1.5,0.05,0.18846240362371536,0.17555731662099083,33,
0,4,1.5,0.05,0.186651378716312,0.17626837460562683,34,
0,4,1.5,0.05,0.18848164454215677,0.17269316807208757,35,
0,4,1.5,0.05,0.18865789777050945,0.17314522782655073,36,
0,4,1.5,0.05,0.18365881884899216,0.17619730187431826,37,
0,4,1.5,0.05,0.1843620127085266,0.17341062941976004,38,
0,4,1.5,0.05,0.1882511170438299,0.17106217075936225,39,
0,4,1.5,0.05,0.18861325568756138,0.1705189518469089,40,
0,4,1.5,0.05,0.19156958666911916,0.1736128726242302,41,
0,4,1.5,0.05,0.18518097914592524,0.17177987878487466,42,
0,4,1.5,0.05,0.18762174867878678,0.16770521576379926,43,
0,4,1.5,0.05,0.18238602642412227,0.1684404203945561,44,
0,4,1.5,0.05,0.1871169730325697,0.17011449073213947,45,
0,4,1.5,0.05,0.18719618762453694,0.1713112877014924,46,
0,4,1.5,0.05,0.18838283050069327,0.17059406104750563,47,
0,4,1.5,0.05,0.18683082523076056,0.17265390912495793,48,
0,4,1.5,0.05,0.1819967019018206,0.16874734519761303,49,
0,4,1.5,0.05,0.18074113410941473,0.17048714933846632,50,
0,4,1.5,0.05,0.1824452150248449,0.17268445125269039,51,
0,4,1.5,0.05,0.18623107175366704,0.1736212684335089,52,
0,4,1.5,0.05,0.1859291082963388,0.168486381242697,53,
0,4,1.5,0.05,0.18354156258314158,0.16987919276720476,54,
0,4,1.5,0.05,0.18673442686362318,0.17385197594738566,55,
0,4,1.5,0.05,0.18838338500474294,0.16535972629140006,56,
0,4,1.5,0.05,0.1896106643558091,0.1682668429498987,57,
0,4,1.5,0.05,0.18269932084499207,0.1689919384291263,58,
0,4,1.5,0.05,0.18340827994649922,0.16409355463784359,59,
0,4,1.5,0.05,0.18311751714318591,0.1710020206503312,60,
0,4,1.5,0.05,0.18682916450232256,0.17154533655959192,61,
0,4,1.5,0.05,0.1878166055102065,0.16122650368001412,62,
0,4,1.5,0.05,0.18358893352914119,0.1685494189340746,63,
0,4,1.5,0.05,0.18554317015162292,0.16551862416624719,64,
0,4,1.5,0.05,0.1789305814064842,0.1636094189823324,65,
0,4,1.5,0.05,0.1745508787394724,0.1605388838919426,66,
0,4,1.5,0.05,0.17619733407177796,0.1673313191624951,67,
0,4,1.5,0.05,0.18158213112800237,0.1655341482353998,68,
0,4,1.5,0.05,0.1824620211271598,0.17141838724867298,69,
0,4,1.5,0.05,0.18212560594502358,0.16906158381880276,70,
0,4,1.5,0.05,0.18499669359159976,0.1666121124142118,71,
0,4,1.5,0.05,0.18180421668471558,0.16521493412207688,72,
0,4,1.5,0.05,0.17886729147338098,0.1627757536253127,73,
0,4,1.5,0.05,0.18540499036214764,0.16821174883808288,74,
0,4,1.5,0.05,0.18527274065642996,0.16791564817494142,75,
0,4,1.5,0.05,0.18469625820120883,0.16749499940047774,76,
0,4,1.5,0.05,0.18835549393815731,0.17007978240698973,77,
0,4,1.5,0.05,0.1904494862456645,0.1747219147330631,78,
0,4,1.5,0.05,0.18821977041802251,0.1777625174315528,79,
0,4,1.5,0.05,0.19144867989886083,0.1759225778779232,80,
0,4,1.5,0.05,0.18587859356510117,0.17592012789718214,81,
0,4,1.5,0.05,0.18595535076700875,0.17067003125900515,82,
0,4,1.5,0.05,0.19071249912849642,0.17111234858589608,83,
0,4,1.5,0.05,0.18943362930179197,0.17299988491491447,84,
0,4,1.5,0.05,0.18761619207679903,0.1721985521959002,85,
0,4,1.5,0.05,0.1844124218769735,0.1685920678854117,86,
0,4,1.5,0.05,0.18729621444978406,0.17484810539170004,87,
0,4,1.5,0.05,0.19041775540206396,0.17811882627213316,88,
0,4,1.5,0.05,0.19005534314849137,0.1717507684359293,89,
0,4,1.5,0.05,0.18390004831034712,0.17310288913810068,90,
0,4,1.5,0.05,0.1842235817626141,0.16708382257042342,91,
0,4,1.5,0.05,0.1837928750129615,0.17020549587388822,92,
0,4,1.5,0.05,0.19310830677996438,0.17577402030781564,93,
0,4,1.5,0.05,0.19063435715881216,0.16997434217096785,94,
0,4,1.5,0.05,0.18546295872716145,0.17631357834956185,95,
0,4,1.5,0.05,0.1908275236428043,0.17363703643332662,96,
0,4,1.5,0.05,0.18870496961175032,0.17285780880006785,97,
0,4,1.5,0.05,0.18702579472386882,0.16272726895602552,98,
0,4,1.5,0.05,0.18068678886242684,0.1656009536350045,99,
0,4,1.5,0.05,0.17922129083078464,0.1667650766366311,100,
1,4,1.5,0.05,0.3331311614120057,0.32307598615039335,0,
1,4,1.5,0.05,0.3169476346921426,0.3070462413282685,1,
1,4,1.5,0.05,0.31212125972118676,0.29953266634649034,2,
1,4,1.5,0.05,0.29670488810513096,0.2752492263671946,3,
1,4,1.5,0.05,0.2845875867313845,0.26776287992866055,4,
1,4,1.5,0.05,0.27036434408630017,0.26215651795401285,5,
1,4,1.5,0.05,0.2659854831356798,0.24744862466227224,6,
1,4,1.5,0.05,0.2533167744747091,0.2366269528958318,7,
1,4,1.5,0.05,0.24185789671178604,0.22878568843366398,8,
1,4,1.5,0.05,0.238147255518937,0.21821265701421577,9,
1,4,1.5,0.05,0.2344100311581463,0.21632888522245586,10,
1,4,1.5,0.05,0.2231428166642091,0.20746174801767958,11,
1,4,1.5,0.05,0.21722087280532276,0.2061609921306189,12,
1,4,1.5,0.05,0.21906888643570133,0.1981675242631571,13,
1,4,1.5,0.05,0.20928167977634504,0.1975231219389022,14,
1,4,1.5,0.05,0.2094339073995619,0.19071810749620843,15,
1,4,1.5,0.05,0.2028268934205062,0.18512986500424922,16,
1,4,1.5,0.05,0.20020829064147727,0.187061995436688,17,
1,4,1.5,0.05,0.19688049314645228,0.17971806036503624,18,
1,4,1.5,0.05,0.19022865719192894,0.1754131433255659,19,
1,4,1.5,0.05,0.19186536965405687,0.17416446845771705,20,
1,4,1.5,0.05,0.19584779791071294,0.18020005509001624,21,
1,4,1.5,0.05,0.19109668585209627,0.17992437504196235,22,
1,4,1.5,0.05,0.1890097229932044,0.18097901520388682,23,
1,4,1.5,0.05,0.18628170064254113,0.17570009447545565,24,
1,4,1.5,0.05,0.18775202287131887,0.1687793616391433,25,
1,4,1.5,0.05,0.1837482085468367,0.17459248902334623,26,
1,4,1.5,0.05,0.1874150439722173,0.1717112524129759,27,
1,4,1.5,0.05,0.18357206484294375,0.17075208927125063,28,
1,4,1.5,0.05,0.19153182318923778,0.1695340997620608,29,
1,4,1.5,0.05,0.19061585401255587,0.17219732844643953,30,
1,4,1.5,0.05,0.18138264005038607,0.1695524015758062,31,
1,4,1.5,0.05,0.18020223462037677,0.16598571122268957,32,
1,4,1.5,0.05,0.18641262590169994,0.17116160598188102,33,
1,4,1.5,0.05,0.1878361691126753,0.17008715094923976,34,
1,4,1.5,0.05,0.1819573169449482,0.16802467523993048,35,
1,4,1.5,0.05,0.1835907847491256,0.17511332883539965,36,
1,4,1.5,0.05,0.18393985896492004,0.16823540664830683,37,
1,4,1.5,0.05,0.1881314314737288,0.1731823546350293,38,
1,4,1.5,0.05,0.18457322830574874,0.1694540923565151,39,
1,4,1.5,0.05,0.1863591411155614,0.1685729680320609,40,
1,4,1.5,0.05,0.18294081728192169,0.1640619083921402,41,
1,4,1.5,0.05,0.18397839376224123,0.17211011970660117,42,
1,4,1.5,0.05,0.1889506254344806,0.16996705497032738,43,
1,4,1.5,0.05,0.1869643763554486,0.1762017560250081,44,
1,4,1.5,0.05,0.1814499787582896,0.16426490393155513,45,
1,4,1.5,0.05,0.18843034789682322,0.1675063781754791,46,
1,4,1.5,0.05,0.18314558210144916,0.17196838467300102,47,
1,4,1.5,0.05,0.1833444407298367,0.1673345469797416,48,
1,4,1.5,0.05,0.18664601412047477,0.1682919120393469,49,
1,4,1.5,0.05,0.18402078908691488,0.1679556382554961,50,
1,4,1.5,0.05,0.1856121111235095,0.17184442967432612,51,
1,4,1.5,0.05,0.18376860173316822,0.1696239204796528,52,
1,4,1.5,0.05,0.1839238804984521,0.1673232227810767,53,
1,4,1.5,0.05,0.18177041129245997,0.16786709430620184,54,
1,4,1.5,0.05,0.1789789263834104,0.16987843954658233,55,
1,4,1.5,0.05,0.18348909585271578,0.1620649249769487,56,
1,4,1.5,0.05,0.18118862943485714,0.16683918147122478,57,
1,4,1.5,0.05,0.17941524910224993,0.1591738818955285,58,
1,4,1.5,0.05,0.18471864043554242,0.1704168679957313,59,
1,4,1.5,0.05,0.18439163748815723,0.17038806625505043,60,
1,4,1.5,0.05,0.18880766574687746,0.17613605276012745,61,
1,4,1.5,0.05,0.18799281538008394,0.168238223514673,62,
1,4,1.5,0.05,0.18250064506955976,0.17170251185192964,63,
1,4,1.5,0.05,0.1864170276640129,0.16699353159097274,64,
1,4,1.5,0.05,0.18474180012520636,0.16891182147193806,65,
1,4,1.5,0.05,0.18344554111464695,0.1707350758011973,66,
1,4,1.5,0.05,0.18185448333662202,0.16477497706432687,67,
1,4,1.5,0.05,0.1860804419911588,0.16975123922053503,68,
1,4,1.5,0.05,0.18761291505944888,0.1724859821221113,69,
1,4,1.5,0.05,0.1869950269849021,0.1714507938512163,70,
1,4,1.5,0.05,0.18807427806012345,0.17597033451584754,71,
1,4,1.5,0.05,0.18307518527901767,0.1718540071503094,72,
1,4,1.5,0.05,0.18865942406701874,0.17460532998712086,73,
1,4,1.5,0.05,0.18095472429865433,0.16737621308579043,74,
1,4,1.5,0.05,0.18163098160672286,0.1686358385739125,75,
1,4,1.5,0.05,0.18462508241934794,0.17258778715739365,76,
1,4,1.5,0.05,0.18799840211168073,0.17281390464045465,77,
1,4,1.5,0.05,0.18819513875235205,0.1643957047440875,78,
1,4,1.5,0.05,0.18869115193368224,0.1682236581337574,79,
1,4,1.5,0.05,0.18554992805829185,0.16567073374821983,80,
1,4,1.5,0.05,0.17737920257815598,0.1667886044561725,81,
1,4,1.5,0.05,0.18597008066344933,0.17617826876934617,82,
1,4,1.5,0.05,0.18587356175179215,0.16502677308054403,83,
1,4,1.5,0.05,0.18285378670768326,0.17191328898241098,84,
1,4,1.5,0.05,0.18673220373945487,0.16526462967156164,85,
1,4,1.5,0.05,0.18500509189421266,0.17459820714000918,86,
1,4,1.5,0.05,0.18850010397051942,0.16959846667210188,87,
1,4,1.5,0.05,0.18712397259543168,0.17122175324648647,88,
1,4,1.5,0.05,0.18941356266205212,0.17345015499772887,89,
1,4,1.5,0.05,0.1913925588674521,0.17417520128942832,90,
1,4,1.5,0.05,0.18780299542177337,0.17555724514356308,91,
1,4,1.5,0.05,0.18962542430757023,0.1704663080257972,92,
1,4,1.5,0.05,0.18676542084474668,0.1723604180236602,93,
1,4,1.5,0.05,0.18477707146018618,0.1716384484025656,94,
1,4,1.5,0.05,0.1868416607199086,0.1681380761523884,95,
1,4,1.5,0.05,0.1878472316323878,0.17351989555116787,96,
1,4,1.5,0.05,0.18750770548161677,0.1715354399793172,97,
1,4,1.5,0.05,0.19187739962936723,0.17324661187931878,98,
1,4,1.5,0.05,0.19031301308837878,0.1733201134009431,99,
1,4,1.5,0.05,0.18751330865721205,0.17096330049275055,100,
2,4,1.5,0.05,0.34583350051941697,0.33595849714205483,0,
2,4,1.5,0.05,0.33568732587015926,0.3212598600213188,1,
2,4,1.5,0.05,0.31772859034008516,0.30512960361545716,2,
2,4,1.5,0.05,0.30777409334156947,0.2889198490957231,3,
2,4,1.5,0.05,0.2875063393466496,0.2707707799304594,4,
2,4,1.5,0.05,0.2729757705383983,0.25809888705254747,5,
2,4,1.5,0.05,0.2607009995788442,0.24799281958430686,6,
2,4,1.5,0.05,0.25724248138486483,0.23639988602067485,7,
2,4,1.5,0.05,0.2437702701897777,0.22681734246650198,8,
2,4,1.5,0.05,0.232086476168051,0.21636377025542697,9,
2,4,1.5,0.05,0.22762397133196577,0.20033902662124548,10,
2,4,1.5,0.05,0.21835347974065067,0.20049435352089573,11,
2,4,1.5,0.05,0.21777549516480965,0.19338222226606894,12,
2,4,1.5,0.05,0.21334138008918513,0.20233932402125376,13,
2,4,1.5,0.05,0.21260566608831588,0.1959621296039159,14,
2,4,1.5,0.05,0.20325546185444276,0.1882104530116655,15,
2,4,1.5,0.05,0.1957919262954685,0.1846379522349173,16,
2,4,1.5,0.05,0.19892398447367576,0.1872954424410782,17,
2,4,1.5,0.05,0.20371939840860054,0.18713334375198065,18,
2,4,1.5,0.05,0.19276465419536093,0.1779102919342711,19,
2,4,1.5,0.05,0.19191305247314283,0.1784009675460494,20,
2,4,1.5,0.05,0.18845603899196628,0.17649875418341887,21,
2,4,1.5,0.05,0.19151537055841228,0.17166549050037805,22,
2,4,1.5,0.05,0.19243151566408223,0.18197008003780923,23,
2,4,1.5,0.05,0.18981604742264202,0.17808863085811533,24,
2,4,1.5,0.05,0.18514012040844308,0.17210037888076912,25,
2,4,1.5,0.05,0.18793632763230927,0.17241290128556463,26,
2,4,1.5,0.05,0.18563010855245032,0.17382796571516523,27,
2,4,1.5,0.05,0.18692350073128283,0.17107749704373643,28,
2,4,1.5,0.05,0.18624628702722212,0.17579530263412868,29,
2,4,1.5,0.05,0.19072475676646405,0.17223549057317888,30,
2,4,1.5,0.05,0.1879439902654736,0.1749260172166942,31,
2,4,1.5,0.05,0.18759158269220821,0.17730323320167862,32,
2,4,1.5,0.05,0.18498695061395654,0.16400932052085482,33,
2,4,1.5,0.05,0.18211823311792297,0.16725025679008976,34,
2,4,1.5,0.05,0.1800114577213725,0.1694528099249395,35,
2,4,1.5,0.05,0.18717598928742119,0.17062301131332158,36,
2,4,1.5,0.05,0.1867029728321451,0.1684672837975849,37,
2,4,1.5,0.05,0.18652743476241396,0.17102942466955784,38,
2,4,1.5,0.05,0.18507703639280415,0.1722144729530547,39,
2,4,1.5,0.05,0.19090365958657263,0.17250707966782797,40,
2,4,1.5,0.05,0.1882907718531116,0.17575220070023734,41,
2,4,1.5,0.05,0.18764579306511708,0.17108823384965022,42,
2,4,1.5,0.05,0.18614156461277243,0.17220586024328388,43,
2,4,1.5,0.05,0.18927608709119192,0.17129783043015823,44,
2,4,1.5,0.05,0.18166194833737137,0.17211917047541692,45,
2,4,1.5,0.05,0.1866303270944677,0.1710686478215031,46,
2,4,1.5,0.05,0.18755254847557612,0.16733347538576382,47,
2,4,1.5,0.05,0.1843803761956362,0.1690526687552718,48,
2,4,1.5,0.05,0.18478412847392622,0.17295774428316357,49,
2,4,1.5,0.05,0.18767393533435262,0.1676974768067473,50,
2,4,1.5,0.05,0.18895529581426285,0.1712156262183302,51,
2,4,1.5,0.05,0.18722268499441108,0.17502519708725361,52,
2,4,1.5,0.05,0.18628855110408327,0.16682154153024054,53,
2,4,1.5,0.05,0.19035836022390296,0.17195928986437992,54,
2,4,1.5,0.05,0.1909893941576063,0.17635833453839478,55,
2,4,1.5,0.05,0.18970721627956744,0.17455047171608606,56,
2,4,1.5,0.05,0.19013256476435214,0.17046181481409395,57,
2,4,1.5,0.05,0.18563507401615043,0.17462252897413222,58,
2,4,1.5,0.05,0.1915532573755081,0.17048367497704475,59,
2,4,1.5,0.05,0.1854025052449083,0.1721423173426746,60,
2,4,1.5,0.05,0.1882145486345428,0.17194118216249987,61,
2,4,1.5,0.05,0.18702304680720128,0.16863529256753518,62,
2,4,1.5,0.05,0.1800511410357334,0.16417397993335703,63,
2,4,1.5,0.05,0.17528814803876425,0.16093903319328007,64,
2,4,1.5,0.05,0.1797260570632122,0.16754658379459353,65,
2,4,1.5,0.05,0.17788926427418816,0.1635443100116527,66,
