simulation,d,c,n,target_n,lambda,q,t,converged,SpectralGapBefore,SpectralGapAfter,
0,4,0,3345,32768.0,29491.2,0.9,2,False,0.0,0.0,
0,4,1,3312,32768.0,29491.2,0.9,3,True,0.0,0.0,
0,4,2,3344,32768.0,29491.2,0.9,4,True,0.0,0.0,
0,4,3,3344,32768.0,29491.2,0.9,5,True,0.0,0.0,
0,4,4,3288,32768.0,29491.2,0.9,6,True,0.0,0.0,
0,4,5,3245,32768.0,29491.2,0.9,7,True,0.0,0.0,
0,4,6,3199,32768.0,29491.2,0.9,8,True,0.0,0.0,
0,4,7,3327,32768.0,29491.2,0.9,9,True,0.0,0.0,
0,4,8,3185,32768.0,29491.2,0.9,10,True,0.0,0.0,
0,4,9,3233,32768.0,29491.2,0.9,11,True,0.0,0.0,
0,4,10,3279,32768.0,29491.2,0.9,12,True,0.0,0.0,
0,4,11,3340,32768.0,29491.2,0.9,13,True,0.0,0.0,
0,4,12,3280,32768.0,29491.2,0.9,14,True,0.0,0.0,
0,4,13,3346,32768.0,29491.2,0.9,15,True,0.0,0.0,
0,4,14,3317,32768.0,29491.2,0.9,16,True,0.0,0.0,
0,4,15,3348,32768.0,29491.2,0.9,17,True,0.0,0.0,
0,4,16,3369,32768.0,29491.2,0.9,18,True,0.0,0.0,
0,4,17,3357,32768.0,29491.2,0.9,19,True,0.0,0.0,
0,4,18,3299,32768.0,29491.2,0.9,20,True,0.0,0.0,
0,4,19,3337,32768.0,29491.2,0.9,21,True,0.0,0.0,
0,4,20,3329,32768.0,29491.2,0.9,22,True,0.0,0.0,
0,4,21,3310,32768.0,29491.2,0.9,23,True,0.0,0.0,
0,4,22,3286,32768.0,29491.2,0.9,24,True,0.0,0.0,
0,4,23,3295,32768.0,29491.2,0.9,25,True,0.0,0.0,
0,4,24,3223,32768.0,29491.2,0.9,26,True,0.0,0.0,
0,4,25,3190,32768.0,29491.2,0.9,27,True,0.0,0.0,
0,4,26,3216,32768.0,29491.2,0.9,28,True,0.0,0.0,
0,4,27,3283,32768.0,29491.2,0.9,29,True,0.0,0.0,
0,4,28,3363,32768.0,29491.2,0.9,30,True,0.0,0.0,
0,4,29,3366,32768.0,29491.2,0.9,31,True,0.0,0.0,
0,4,30,3229,32768.0,29491.2,0.9,32,True,0.0,0.0,
0,4,31,3271,32768.0,29491.2,0.9,33,True,0.0,0.0,
0,4,32,3241,32768.0,29491.2,0.9,34,True,0.0,0.0,
0,4,33,3239,32768.0,29491.2,0.9,35,True,0.0,0.0,
0,4,34,3331,32768.0,29491.2,0.9,36,True,0.0,0.0,
0,4,35,3236,32768.0,29491.2,0.9,37,True,0.0,0.0,
0,4,36,3315,32768.0,29491.2,0.9,38,True,0.0,0.0,
0,4,37,3307,32768.0,29491.2,0.9,39,True,0.0,0.0,
0,4,38,3193,32768.0,29491.2,0.9,40,True,0.0,0.0,
0,4,39,3192,32768.0,29491.2,0.9,41,True,0.0,0.0,
0,4,40,3239,32768.0,29491.2,0.9,42,True,0.0,0.0,
0,4,41,3334,32768.0,29491.2,0.9,43,True,0.0,0.0,
0,4,42,3276,32768.0,29491.2,0.9,44,True,0.0,0.0,
0,4,43,3249,32768.0,29491.2,0.9,45,True,0.0,0.0,
0,4,44,3202,32768.0,29491.2,0.9,46,True,0.0,0.0,
0,4,45,3345,32768.0,29491.2,0.9,47,True,0.0,0.0,
0,4,46,3241,32768.0,29491.2,0.9,48,True,0.0,0.0,
0,4,47,3248,32768.0,29491.2,0.9,49,True,0.0,0.0,
0,4,48,3259,32768.0,29491.2,0.9,50,True,0.0,0.0,
0,4,49,3310,32768.0,29491.2,0.9,51,True,0.0,0.0,
0,4,50,3205,32768.0,29491.2,0.9,52,True,0.0,0.0,
0,4,51,3220,32768.0,29491.2,0.9,53,True,0.0,0.0,
0,4,52,3304,32768.0,29491.2,0.9,54,True,0.0,0.0,
0,4,53,3303,32768.0,29491.2,0.9,55,True,0.0,0.0,
0,4,54,3332,32768.0,29491.2,0.9,56,True,0.0,0.0,
0,4,55,3273,32768.0,29491.2,0.9,57,True,0.0,0.0,
0,4,56,3259,32768.0,29491.2,0.9,58,True,0.0,0.0,
0,4,57,3268,32768.0,29491.2,0.9,59,True,0.0,0.0,
0,4,58,3273,32768.0,29491.2,0.9,60,True,0.0,0.0,
0,4,59,3329,32768.0,29491.2,0.9,61,True,0.0,0.0,
0,4,60,3354,32768.0,29491.2,0.9,62,True,0.0,0.0,
0,4,61,3381,32768.0,29491.2,0.9,63,True,0.0,0.0,
0,4,62,3379,32768.0,29491.2,0.9,64,True,0.0,0.0,
0,4,63,3337,32768.0,29491.2,0.9,65,True,0.0,0.0,
0,4,64,3296,32768.0,29491.2,0.9,66,True,0.0,0.0,
0,4,65,3306,32768.0,29491.2,0.9,67,True,0.0,0.0,
0,4,66,3187,32768.0,29491.2,0.9,68,True,0.0,0.0,
0,4,67,3134,32768.0,29491.2,0.9,69,True,0.0,0.0,
0,4,68,3315,32768.0,29491.2,0.9,70,True,0.0,0.0,
0,4,69,3277,32768.0,29491.2,0.9,71,True,0.0,0.0,
0,4,70,3266,32768.0,29491.2,0.9,72,True,0.0,0.0,
0,4,71,3278,32768.0,29491.2,0.9,73,True,0.0,0.0,
0,4,72,3267,32768.0,29491.2,0.9,74,True,0.0,0.0,
0,4,73,3316,32768.0,29491.2,0.9,75,True,0.0,0.0,
0,4,74,3300,32768.0,29491.2,0.9,76,True,0.0,0.0,
0,4,75,3262,32768.0,29491.2,0.9,77,True,0.0,0.0,
0,4,76,3347,32768.0,29491.2,0.9,78,True,0.0,0.0,
0,4,77,3282,32768.0,29491.2,0.9,79,True,0.0,0.0,
0,4,78,3321,32768.0,29491.2,0.9,80,True,0.0,0.0,
0,4,79,3324,32768.0,29491.2,0.9,81,True,0.0,0.0,
0,4,80,3237,32768.0,29491.2,0.9,82,True,0.0,0.0,
0,4,81,3348,32768.0,29491.2,0.9,83,True,0.0,0.0,
0,4,82,3287,32768.0,29491.2,0.9,84,True,0.0,0.0,
0,4,83,3241,32768.0,29491.2,0.9,85,True,0.0,0.0,
0,4,84,3306,32768.0,29491.2,0.9,86,True,0.0,0.0,
0,4,85,3333,32768.0,29491.2,0.9,87,True,0.0,0.0,
0,4,86,3375,32768.0,29491.2,0.9,88,True,0.0,0.0,
0,4,87,3342,32768.0,29491.2,0.9,89,True,0.0,0.0,
0,4,88,3340,32768.0,29491.2,0.9,90,True,0.0,0.0,
0,4,89,3325,32768.0,29491.2,0.9,91,True,0.0,0.0,
0,4,90,3366,32768.0,29491.2,0.9,92,True,0.0,0.0,
0,4,91,3378,32768.0,29491.2,0.9,93,True,0.0,0.0,
0,4,92,3249,32768.0,29491.2,0.9,94,True,0.0,0.0,
0,4,93,3303,32768.0,29491.2,0.9,95,True,0.0,0.0,
0,4,94,3228,32768.0,29491.2,0.9,96,True,0.0,0.0,
0,4,95,3243,32768.0,29491.2,0.9,97,True,0.0,0.0,
0,4,96,3236,32768.0,29491.2,0.9,98,True,0.0,0.0,
0,4,97,3269,32768.0,29491.2,0.9,99,True,0.0,0.0,
0,4,98,3256,32768.0,29491.2,0.9,100,True,0.0,0.0,
0,4,99,3227,32768.0,29491.2,0.9,101,True,0.0,0.0,
0,4,100,3268,32768.0,29491.2,0.9,102,True,0.0,0.0,
1,4,0,3243,32768.0,29491.2,0.9,2,False,0.0,0.0,
1,4,1,3328,32768.0,29491.2,0.9,3,True,0.0,0.0,
1,4,2,3220,32768.0,29491.2,0.9,4,True,0.0,0.0,
1,4,3,3263,32768.0,29491.2,0.9,5,True,0.0,0.0,
1,4,4,3280,32768.0,29491.2,0.9,6,True,0.0,0.0,
1,4,5,3150,32768.0,29491.2,0.9,7,True,0.0,0.0,
1,4,6,3346,32768.0,29491.2,0.9,8,True,0.0,0.0,
1,4,7,3294,32768.0,29491.2,0.9,9,True,0.0,0.0,
1,4,8,3203,32768.0,29491.2,0.9,10,True,0.0,0.0,
1,4,9,3271,32768.0,29491.2,0.9,11,True,0.0,0.0,
1,4,10,3246,32768.0,29491.2,0.9,12,True,0.0,0.0,
1,4,11,3244,32768.0,29491.2,0.9,13,True,0.0,0.0,
1,4,12,3285,32768.0,29491.2,0.9,14,True,0.0,0.0,
1,4,13,3218,32768.0,29491.2,0.9,15,True,0.0,0.0,
1,4,14,3242,32768.0,29491.2,0.9,16,True,0.0,0.0,
1,4,15,3225,32768.0,29491.2,0.9,17,True,0.0,0.0,
1,4,16,3263,32768.0,29491.2,0.9,18,True,0.0,0.0,
1,4,17,3186,32768.0,29491.2,0.9,19,True,0.0,0.0,
1,4,18,3272,32768.0,29491.2,0.9,20,True,0.0,0.0,
1,4,19,3201,32768.0,29491.2,0.9,21,True,0.0,0.0,
1,4,20,3349,32768.0,29491.2,0.9,22,True,0.0,0.0,
1,4,21,3168,32768.0,29491.2,0.9,23,True,0.0,0.0,
1,4,22,3295,32768.0,29491.2,0.9,24,True,0.0,0.0,
1,4,23,3326,32768.0,29491.2,0.9,25,True,0.0,0.0,
1,4,24,3192,32768.0,29491.2,0.9,26,True,0.0,0.0,
1,4,25,3209,32768.0,29491.2,0.9,27,True,0.0,0.0,
1,4,26,3308,32768.0,29491.2,0.9,28,True,0.0,0.0,
1,4,27,3292,32768.0,29491.2,0.9,29,True,0.0,0.0,
1,4,28,3228,32768.0,29491.2,0.9,30,True,0.0,0.0,
1,4,29,3292,32768.0,29491.2,0.9,31,True,0.0,0.0,
1,4,30,3318,32768.0,29491.2,0.9,32,True,0.0,0.0,
1,4,31,3190,32768.0,29491.2,0.9,33,True,0.0,0.0,
1,4,32,3349,32768.0,29491.2,0.9,34,True,0.0,0.0,
1,4,33,3245,32768.0,29491.2,0.9,35,True,0.0,0.0,
1,4,34,3266,32768.0,29491.2,0.9,36,True,0.0,0.0,
1,4,35,3264,32768.0,29491.2,0.9,37,True,0.0,0.0,
1,4,36,3298,32768.0,29491.2,0.9,38,True,0.0,0.0,
1,4,37,3258,32768.0,29491.2,0.9,39,True,0.0,0.0,
1,4,38,3215,32768.0,29491.2,0.9,40,True,0.0,0.0,
1,4,39,3217,32768.0,29491.2,0.9,41,True,0.0,0.0,
1,4,40,3229,32768.0,29491.2,0.9,42,True,0.0,0.0,
1,4,41,3270,32768.0,29491.2,0.9,43,True,0.0,0.0,
1,4,42,3262,32768.0,29491.2,0.9,44,True,0.0,0.0,
1,4,43,3277,32768.0,29491.2,0.9,45,True,0.0,0.0,
1,4,44,3316,32768.0,29491.2,0.9,46,True,0.0,0.0,
1,4,45,3226,32768.0,29491.2,0.9,47,True,0.0,0.0,
1,4,46,3222,32768.0,29491.2,0.9,48,True,0.0,0.0,
1,4,47,3263,32768.0,29491.2,0.9,49,True,0.0,0.0,
1,4,48,3256,32768.0,29491.2,0.9,50,True,0.0,0.0,
1,4,49,3216,32768.0,29491.2,0.9,51,True,0.0,0.0,
1,4,50,3316,32768.0,29491.2,0.9,52,True,0.0,0.0,
1,4,51,3157,32768.0,29491.2,0.9,53,True,0.0,0.0,
1,4,52,3332,32768.0,29491.2,0.9,54,True,0.0,0.0,
1,4,53,3269,32768.0,29491.2,0.9,55,True,0.0,0.0,
1,4,54,3208,32768.0,29491.2,0.9,56,True,0.0,0.0,
1,4,55,3343,32768.0,29491.2,0.9,57,True,0.0,0.0,
1,4,56,3281,32768.0,29491.2,0.9,58,True,0.0,0.0,
1,4,57,3197,32768.0,29491.2,0.9,59,True,0.0,0.0,
1,4,58,3198,32768.0,29491.2,0.9,60,True,0.0,0.0,
1,4,59,3175,32768.0,29491.2,0.9,61,True,0.0,0.0,
