simulation,d,c,n,target_n,lambda,q,t,converged,SpectralGapBefore,SpectralGapAfter,
0,4,0,1224,4096.0,2867.2,0.7,3,False,0.0,0.0,
0,4,1,1250,4096.0,2867.2,0.7,4,True,0.0,0.0,
0,4,2,1260,4096.0,2867.2,0.7,5,True,0.0,0.0,
0,4,3,1201,4096.0,2867.2,0.7,6,True,0.0,0.0,
0,4,4,1214,4096.0,2867.2,0.7,7,True,0.0,0.0,
0,4,5,1252,4096.0,2867.2,0.7,8,True,0.0,0.0,
0,4,6,1268,4096.0,2867.2,0.7,9,True,0.0,0.0,
0,4,7,1245,4096.0,2867.2,0.7,10,True,0.0,0.0,
0,4,8,1230,4096.0,2867.2,0.7,11,True,0.0,0.0,
0,4,9,1219,4096.0,2867.2,0.7,12,True,0.0,0.0,
0,4,10,1273,4096.0,2867.2,0.7,13,True,0.0,0.0,
0,4,11,1183,4096.0,2867.2,0.7,14,True,0.0,0.0,
0,4,12,1222,4096.0,2867.2,0.7,15,True,0.0,0.0,
0,4,13,1261,4096.0,2867.2,0.7,16,True,0.0,0.0,
0,4,14,1261,4096.0,2867.2,0.7,17,True,0.0,0.0,
0,4,15,1192,4096.0,2867.2,0.7,18,True,0.0,0.0,
0,4,16,1206,4096.0,2867.2,0.7,19,True,0.0,0.0,
0,4,17,1246,4096.0,2867.2,0.7,20,True,0.0,0.0,
0,4,18,1226,4096.0,2867.2,0.7,21,True,0.0,0.0,
0,4,19,1198,4096.0,2867.2,0.7,22,True,0.0,0.0,
0,4,20,1153,4096.0,2867.2,0.7,23,True,0.0,0.0,
0,4,21,1197,4096.0,2867.2,0.7,24,True,0.0,0.0,
0,4,22,1249,4096.0,2867.2,0.7,25,True,0.0,0.0,
0,4,23,1248,4096.0,2867.2,0.7,26,True,0.0,0.0,
0,4,24,1182,4096.0,2867.2,0.7,27,True,0.0,0.0,
0,4,25,1264,4096.0,2867.2,0.7,28,True,0.0,0.0,
0,4,26,1256,4096.0,2867.2,0.7,29,True,0.0,0.0,
0,4,27,1251,4096.0,2867.2,0.7,30,True,0.0,0.0,
0,4,28,1179,4096.0,2867.2,0.7,31,True,0.0,0.0,
0,4,29,1235,4096.0,2867.2,0.7,32,True,0.0,0.0,
0,4,30,1268,4096.0,2867.2,0.7,33,True,0.0,0.0,
0,4,31,1310,4096.0,2867.2,0.7,34,True,0.0,0.0,
0,4,32,1234,4096.0,2867.2,0.7,35,True,0.0,0.0,
0,4,33,1243,4096.0,2867.2,0.7,36,True,0.0,0.0,
0,4,34,1224,4096.0,2867.2,0.7,37,True,0.0,0.0,
0,4,35,1238,4096.0,2867.2,0.7,38,True,0.0,0.0,
0,4,36,1232,4096.0,2867.2,0.7,39,True,0.0,0.0,
0,4,37,1260,4096.0,2867.2,0.7,40,True,0.0,0.0,
0,4,38,1230,4096.0,2867.2,0.7,41,True,0.0,0.0,
0,4,39,1248,4096.0,2867.2,0.7,42,True,0.0,0.0,
0,4,40,1272,4096.0,2867.2,0.7,43,True,0.0,0.0,
0,4,41,1202,4096.0,2867.2,0.7,44,True,0.0,0.0,
0,4,42,1254,4096.0,2867.2,0.7,45,True,0.0,0.0,
0,4,43,1241,4096.0,2867.2,0.7,46,True,0.0,0.0,
0,4,44,1266,4096.0,2867.2,0.7,47,True,0.0,0.0,
0,4,45,1226,4096.0,2867.2,0.7,48,True,0.0,0.0,
0,4,46,1263,4096.0,2867.2,0.7,49,True,0.0,0.0,
0,4,47,1246,4096.0,2867.2,0.7,50,True,0.0,0.0,
0,4,48,1248,4096.0,2867.2,0.7,51,True,0.0,0.0,
0,4,49,1211,4096.0,2867.2,0.7,52,True,0.0,0.0,
0,4,50,1155,4096.0,2867.2,0.7,53,True,0.0,0.0,
0,4,51,1257,4096.0,2867.2,0.7,54,True,0.0,0.0,
0,4,52,1237,4096.0,2867.2,0.7,55,True,0.0,0.0,
0,4,53,1269,4096.0,2867.2,0.7,56,True,0.0,0.0,
