simulation,d,c,n,target_n,lambda,q,t,converged,SpectralGapBefore,SpectralGapAfter,
0,4,0,4101,8192.0,4096.0,0.5,11,False,0.0,0.0,
0,4,1,4030,8192.0,4096.0,0.5,12,True,0.0,0.0,
0,4,2,4019,8192.0,4096.0,0.5,13,True,0.0,0.0,
0,4,3,4049,8192.0,4096.0,0.5,14,True,0.0,0.0,
0,4,4,4066,8192.0,4096.0,0.5,15,True,0.0,0.0,
0,4,5,3984,8192.0,4096.0,0.5,16,True,0.0,0.0,
0,4,6,4091,8192.0,4096.0,0.5,17,True,0.0,0.0,
0,4,7,4136,8192.0,4096.0,0.5,18,True,0.0,0.0,
0,4,8,4116,8192.0,4096.0,0.5,19,True,0.0,0.0,
0,4,9,4053,8192.0,4096.0,0.5,20,True,0.0,0.0,
0,4,10,4073,8192.0,4096.0,0.5,21,True,0.0,0.0,
0,4,11,4023,8192.0,4096.0,0.5,22,True,0.0,0.0,
0,4,12,4082,8192.0,4096.0,0.5,23,True,0.0,0.0,
0,4,13,4042,8192.0,4096.0,0.5,24,True,0.0,0.0,
0,4,14,4058,8192.0,4096.0,0.5,25,True,0.0,0.0,
0,4,15,4078,8192.0,4096.0,0.5,26,True,0.0,0.0,
0,4,16,4064,8192.0,4096.0,0.5,27,True,0.0,0.0,
0,4,17,4029,8192.0,4096.0,0.5,28,True,0.0,0.0,
0,4,18,4093,8192.0,4096.0,0.5,29,True,0.0,0.0,
0,4,19,4138,8192.0,4096.0,0.5,30,True,0.0,0.0,
0,4,20,4010,8192.0,4096.0,0.5,31,True,0.0,0.0,
0,4,21,4027,8192.0,4096.0,0.5,32,True,0.0,0.0,
0,4,22,4192,8192.0,4096.0,0.5,33,True,0.0,0.0,
0,4,23,4179,8192.0,4096.0,0.5,34,True,0.0,0.0,
0,4,24,4084,8192.0,4096.0,0.5,35,True,0.0,0.0,
0,4,25,4066,8192.0,4096.0,0.5,36,True,0.0,0.0,
0,4,26,4087,8192.0,4096.0,0.5,37,True,0.0,0.0,
0,4,27,4072,8192.0,4096.0,0.5,38,True,0.0,0.0,
0,4,28,4024,8192.0,4096.0,0.5,39,True,0.0,0.0,
0,4,29,4043,8192.0,4096.0,0.5,40,True,0.0,0.0,
0,4,30,4140,8192.0,4096.0,0.5,41,True,0.0,0.0,
0,4,31,4026,8192.0,4096.0,0.5,42,True,0.0,0.0,
0,4,32,4087,8192.0,4096.0,0.5,43,True,0.0,0.0,
0,4,33,4079,8192.0,4096.0,0.5,44,True,0.0,0.0,
0,4,34,4085,8192.0,4096.0,0.5,45,True,0.0,0.0,
0,4,35,4146,8192.0,4096.0,0.5,46,True,0.0,0.0,
0,4,36,4234,8192.0,4096.0,0.5,47,True,0.0,0.0,
0,4,37,4159,8192.0,4096.0,0.5,48,True,0.0,0.0,
0,4,38,4169,8192.0,4096.0,0.5,49,True,0.0,0.0,
0,4,39,4134,8192.0,4096.0,0.5,50,True,0.0,0.0,
0,4,40,4200,8192.0,4096.0,0.5,51,True,0.0,0.0,
0,4,41,4129,8192.0,4096.0,0.5,52,True,0.0,0.0,
0,4,42,4085,8192.0,4096.0,0.5,53,True,0.0,0.0,
0,4,43,4048,8192.0,4096.0,0.5,54,True,0.0,0.0,
0,4,44,4028,8192.0,4096.0,0.5,55,True,0.0,0.0,
0,4,45,4076,8192.0,4096.0,0.5,56,True,0.0,0.0,
0,4,46,4141,8192.0,4096.0,0.5,57,True,0.0,0.0,
0,4,47,4112,8192.0,4096.0,0.5,58,True,0.0,0.0,
0,4,48,4140,8192.0,4096.0,0.5,59,True,0.0,0.0,
0,4,49,4170,8192.0,4096.0,0.5,60,True,0.0,0.0,
0,4,50,4105,8192.0,4096.0,0.5,61,True,0.0,0.0,
0,4,51,4096,8192.0,4096.0,0.5,62,True,0.0,0.0,
0,4,52,4127,8192.0,4096.0,0.5,63,True,0.0,0.0,
0,4,53,4119,8192.0,4096.0,0.5,64,True,0.0,0.0,
0,4,54,4154,8192.0,4096.0,0.5,65,True,0.0,0.0,
0,4,55,4189,8192.0,4096.0,0.5,66,True,0.0,0.0,
0,4,56,4121,8192.0,4096.0,0.5,67,True,0.0,0.0,
0,4,57,4195,8192.0,4096.0,0.5,68,True,0.0,0.0,
0,4,58,4184,8192.0,4096.0,0.5,69,True,0.0,0.0,
0,4,59,4063,8192.0,4096.0,0.5,70,True,0.0,0.0,
0,4,60,4155,8192.0,4096.0,0.5,71,True,0.0,0.0,
0,4,61,4094,8192.0,4096.0,0.5,72,True,0.0,0.0,
0,4,62,4033,8192.0,4096.0,0.5,73,True,0.0,0.0,
0,4,63,4095,8192.0,4096.0,0.5,74,True,0.0,0.0,
0,4,64,4240,8192.0,4096.0,0.5,75,True,0.0,0.0,
0,4,65,4072,8192.0,4096.0,0.5,76,True,0.0,0.0,
0,4,66,4173,8192.0,4096.0,0.5,77,True,0.0,0.0,
0,4,67,4095,8192.0,4096.0,0.5,78,True,0.0,0.0,
0,4,68,3982,8192.0,4096.0,0.5,79,True,0.0,0.0,
0,4,69,3997,8192.0,4096.0,0.5,80,True,0.0,0.0,
0,4,70,4075,8192.0,4096.0,0.5,81,True,0.0,0.0,
0,4,71,4097,8192.0,4096.0,0.5,82,True,0.0,0.0,
0,4,72,3990,8192.0,4096.0,0.5,83,True,0.0,0.0,
0,4,73,4068,8192.0,4096.0,0.5,84,True,0.0,0.0,
0,4,74,4079,8192.0,4096.0,0.5,85,True,0.0,0.0,
0,4,75,4122,8192.0,4096.0,0.5,86,True,0.0,0.0,
0,4,76,4094,8192.0,4096.0,0.5,87,True,0.0,0.0,
0,4,77,4187,8192.0,4096.0,0.5,88,True,0.0,0.0,
0,4,78,4207,8192.0,4096.0,0.5,89,True,0.0,0.0,
0,4,79,4097,8192.0,4096.0,0.5,90,True,0.0,0.0,
0,4,80,4134,8192.0,4096.0,0.5,91,True,0.0,0.0,
0,4,81,4092,8192.0,4096.0,0.5,92,True,0.0,0.0,
0,4,82,4060,8192.0,4096.0,0.5,93,True,0.0,0.0,
0,4,83,4149,8192.0,4096.0,0.5,94,True,0.0,0.0,
0,4,84,4125,8192.0,4096.0,0.5,95,True,0.0,0.0,
0,4,85,4082,8192.0,4096.0,0.5,96,True,0.0,0.0,
0,4,86,4059,8192.0,4096.0,0.5,97,True,0.0,0.0,
0,4,87,4140,8192.0,4096.0,0.5,98,True,0.0,0.0,
0,4,88,4055,8192.0,4096.0,0.5,99,True,0.0,0.0,
0,4,89,4031,8192.0,4096.0,0.5,100,True,0.0,0.0,
0,4,90,4087,8192.0,4096.0,0.5,101,True,0.0,0.0,
0,4,91,4057,8192.0,4096.0,0.5,102,True,0.0,0.0,
0,4,92,4058,8192.0,4096.0,0.5,103,True,0.0,0.0,
0,4,93,4029,8192.0,4096.0,0.5,104,True,0.0,0.0,
0,4,94,4103,8192.0,4096.0,0.5,105,True,0.0,0.0,
0,4,95,4109,8192.0,4096.0,0.5,106,True,0.0,0.0,
0,4,96,4018,8192.0,4096.0,0.5,107,True,0.0,0.0,
0,4,97,4005,8192.0,4096.0,0.5,108,True,0.0,0.0,
0,4,98,4150,8192.0,4096.0,0.5,109,True,0.0,0.0,
0,4,99,4077,8192.0,4096.0,0.5,110,True,0.0,0.0,
0,4,100,4111,8192.0,4096.0,0.5,111,True,0.0,0.0,
1,4,0,4093,8192.0,4096.0,0.5,6,False,0.0,0.0,
1,4,1,4093,8192.0,4096.0,0.5,7,True,0.0,0.0,
1,4,2,4083,8192.0,4096.0,0.5,8,True,0.0,0.0,
1,4,3,4002,8192.0,4096.0,0.5,9,True,0.0,0.0,
1,4,4,4066,8192.0,4096.0,0.5,10,True,0.0,0.0,
1,4,5,4116,8192.0,4096.0,0.5,11,True,0.0,0.0,
1,4,6,4056,8192.0,4096.0,0.5,12,True,0.0,0.0,
1,4,7,4073,8192.0,4096.0,0.5,13,True,0.0,0.0,
1,4,8,4029,8192.0,4096.0,0.5,14,True,0.0,0.0,
1,4,9,4067,8192.0,4096.0,0.5,15,True,0.0,0.0,
1,4,10,4167,8192.0,4096.0,0.5,16,True,0.0,0.0,
1,4,11,4058,8192.0,4096.0,0.5,17,True,0.0,0.0,
1,4,12,4044,8192.0,4096.0,0.5,18,True,0.0,0.0,
1,4,13,4093,8192.0,4096.0,0.5,19,True,0.0,0.0,
1,4,14,4010,8192.0,4096.0,0.5,20,True,0.0,0.0,
1,4,15,4050,8192.0,4096.0,0.5,21,True,0.0,0.0,
1,4,16,4122,8192.0,4096.0,0.5,22,True,0.0,0.0,
1,4,17,4097,8192.0,4096.0,0.5,23,True,0.0,0.0,
1,4,18,4012,8192.0,4096.0,0.5,24,True,0.0,0.0,
1,4,19,4136,8192.0,4096.0,0.5,25,True,0.0,0.0,
1,4,20,4217,8192.0,4096.0,0.5,26,True,0.0,0.0,
1,4,21,4125,8192.0,4096.0,0.5,27,True,0.0,0.0,
1,4,22,4025,8192.0,4096.0,0.5,28,True,0.0,0.0,
1,4,23,4075,8192.0,4096.0,0.5,29,True,0.0,0.0,
1,4,24,4139,8192.0,4096.0,0.5,30,True,0.0,0.0,
1,4,25,4072,8192.0,4096.0,0.5,31,True,0.0,0.0,
1,4,26,4139,8192.0,4096.0,0.5,32,True,0.0,0.0,
1,4,27,4174,8192.0,4096.0,0.5,33,True,0.0,0.0,
1,4,28,4212,8192.0,4096.0,0.5,34,True,0.0,0.0,
1,4,29,4120,8192.0,4096.0,0.5,35,True,0.0,0.0,
1,4,30,4074,8192.0,4096.0,0.5,36,True,0.0,0.0,
1,4,31,4091,8192.0,4096.0,0.5,37,True,0.0,0.0,
1,4,32,4088,8192.0,4096.0,0.5,38,True,0.0,0.0,
1,4,33,4093,8192.0,4096.0,0.5,39,True,0.0,0.0,
1,4,34,4100,8192.0,4096.0,0.5,40,True,0.0,0.0,
1,4,35,4087,8192.0,4096.0,0.5,41,True,0.0,0.0,
1,4,36,4005,8192.0,4096.0,0.5,42,True,0.0,0.0,
1,4,37,4010,8192.0,4096.0,0.5,43,True,0.0,0.0,
1,4,38,4024,8192.0,4096.0,0.5,44,True,0.0,0.0,
1,4,39,4134,8192.0,4096.0,0.5,45,True,0.0,0.0,
1,4,40,4168,8192.0,4096.0,0.5,46,True,0.0,0.0,
1,4,41,4142,8192.0,4096.0,0.5,47,True,0.0,0.0,
1,4,42,4153,8192.0,4096.0,0.5,48,True,0.0,0.0,
1,4,43,4091,8192.0,4096.0,0.5,49,True,0.0,0.0,
1,4,44,4013,8192.0,4096.0,0.5,50,True,0.0,0.0,
1,4,45,4023,8192.0,4096.0,0.5,51,True,0.0,0.0,
1,4,46,4105,8192.0,4096.0,0.5,52,True,0.0,0.0,
1,4,47,4137,8192.0,4096.0,0.5,53,True,0.0,0.0,
1,4,48,4124,8192.0,4096.0,0.5,54,True,0.0,0.0,
1,4,49,4154,8192.0,4096.0,0.5,55,True,0.0,0.0,
1,4,50,4074,8192.0,4096.0,0.5,56,True,0.0,0.0,
1,4,51,3930,8192.0,4096.0,0.5,57,True,0.0,0.0,
1,4,52,3920,8192.0,4096.0,0.5,58,True,0.0,0.0,
1,4,53,3963,8192.0,4096.0,0.5,59,True,0.0,0.0,
1,4,54,4151,8192.0,4096.0,0.5,60,True,0.0,0.0,
1,4,55,4236,8192.0,4096.0,0.5,61,True,0.0,0.0,
1,4,56,4127,8192.0,4096.0,0.5,62,True,0.0,0.0,
1,4,57,4022,8192.0,4096.0,0.5,63,True,0.0,0.0,
1,4,58,4088,8192.0,4096.0,0.5,64,True,0.0,0.0,
1,4,59,4193,8192.0,4096.0,0.5,65,True,0.0,0.0,
