simulation,d,c,n,target_n,lambda,q,t,converged,SpectralGapBefore,SpectralGapAfter,
0,4,0,255,512.0,256.0,0.5,6,False,0.0,0.1367570604693117,
0,4,1,268,512.0,256.0,0.5,7,True,0.0,0.0,
0,4,2,247,512.0,256.0,0.5,8,True,0.0,0.16160008435978845,
0,4,3,247,512.0,256.0,0.5,9,True,0.0,0.15588712960151851,
0,4,4,279,512.0,256.0,0.5,10,True,0.0,0.15128603563617649,
0,4,5,282,512.0,256.0,0.5,11,True,0.0,0.0,
0,4,6,276,512.0,256.0,0.5,12,True,0.0,0.15035054194493658,
0,4,7,262,512.0,256.0,0.5,13,True,0.0,0.1584208411212964,
0,4,8,254,512.0,256.0,0.5,14,True,0.0,0.0,
0,4,9,251,512.0,256.0,0.5,15,True,0.0,0.0,
0,4,10,242,512.0,256.0,0.5,16,True,0.0,0.1542170599242757,
0,4,11,243,512.0,256.0,0.5,17,True,0.0,0.0,
0,4,12,266,512.0,256.0,0.5,18,True,0.0,0.16398556893983374,
0,4,13,262,512.0,256.0,0.5,19,True,0.0,0.13793175680340775,
0,4,14,256,512.0,256.0,0.5,20,True,0.0,0.0,
0,4,15,271,512.0,256.0,0.5,21,True,0.0,0.0,
0,4,16,278,512.0,256.0,0.5,22,True,0.0,0.15772185789099924,
0,4,17,274,512.0,256.0,0.5,23,True,0.0,0.15814861167080363,
0,4,18,261,512.0,256.0,0.5,24,True,0.0,0.0,
0,4,19,277,512.0,256.0,0.5,25,True,0.0,0.0,
0,4,20,285,512.0,256.0,0.5,26,True,0.0,0.0,
0,4,21,267,512.0,256.0,0.5,27,True,0.0,0.0,
0,4,22,253,512.0,256.0,0.5,28,True,0.0,0.0,
0,4,23,307,512.0,256.0,0.5,29,True,0.0,0.16777191788860302,
0,4,24,280,512.0,256.0,0.5,30,True,0.0,0.15691069941207159,
0,4,25,246,512.0,256.0,0.5,31,True,0.0,0.1419860910564037,
0,4,26,248,512.0,256.0,0.5,32,True,0.0,0.13398134050512522,
