simulation,d,c,p,spectralGapBefore,spectralGapAfter,t,
0,4,1.5,0.5,0.34303870881559273,0.0,0,
0,4,1.5,0.5,0.22312650873399376,0.0,1,
0,4,1.5,0.5,0.23777123086044394,0.0,2,
0,4,1.5,0.5,0.22721361298801712,0.0,3,
0,4,1.5,0.5,0.2317898513092519,0.0,4,
0,4,1.5,0.5,0.23010700314292176,0.0,5,
0,4,1.5,0.5,0.2292410489225245,0.0,6,
0,4,1.5,0.5,0.23512532378680517,0.0,7,
0,4,1.5,0.5,0.23128818973220278,0.0,8,
0,4,1.5,0.5,0.23412292638535348,0.0,9,
0,4,1.5,0.5,0.23011121096809384,0.0,10,
0,4,1.5,0.5,0.23138177169187202,0.0,11,
0,4,1.5,0.5,0.22929143000278462,0.0,12,
0,4,1.5,0.5,0.23411895039132646,0.0,13,
0,4,1.5,0.5,0.23195422177174918,0.0,14,
0,4,1.5,0.5,0.23223281862699108,0.0,15,
0,4,1.5,0.5,0.2293251936158609,0.0,16,
0,4,1.5,0.5,0.23543488794333856,0.0,17,
0,4,1.5,0.5,0.23054693600470455,0.0,18,
0,4,1.5,0.5,0.23089895926263537,0.0,19,
0,4,1.5,0.5,0.2318411215255599,0.0,20,
0,4,1.5,0.5,0.22821685300403582,0.0,21,
0,4,1.5,0.5,0.23583950901763795,0.0,22,
0,4,1.5,0.5,0.23127437063993905,0.0,23,
0,4,1.5,0.5,0.22706461045327753,0.0,24,
0,4,1.5,0.5,0.23068828784852202,0.0,25,
0,4,1.5,0.5,0.23006732232857352,0.0,26,
0,4,1.5,0.5,0.23426060266988646,0.0,27,
0,4,1.5,0.5,0.22847110829458028,0.0,28,
0,4,1.5,0.5,0.23190501184090118,0.0,29,
0,4,1.5,0.5,0.23407963317592118,0.0,30,
0,4,1.5,0.5,0.23345429146350127,0.0,31,
0,4,1.5,0.5,0.23067669659002377,0.0,32,
0,4,1.5,0.5,0.22697783896960444,0.0,33,
0,4,1.5,0.5,0.2343663908507656,0.0,34,
0,4,1.5,0.5,0.2336545701592312,0.0,35,
0,4,1.5,0.5,0.23390688578618724,0.0,36,
0,4,1.5,0.5,0.23144447468858775,0.0,37,
0,4,1.5,0.5,0.23416145490252926,0.0,38,
0,4,1.5,0.5,0.23544349383580465,0.0,39,
0,4,1.5,0.5,0.22926784362484276,0.0,40,
0,4,1.5,0.5,0.23476667180187527,0.0,41,
0,4,1.5,0.5,0.2301382606692276,0.0,42,
0,4,1.5,0.5,0.23387029172965246,0.0,43,
0,4,1.5,0.5,0.22474694043365495,0.0,44,
0,4,1.5,0.5,0.23128796345740388,0.0,45,
0,4,1.5,0.5,0.23178647736441382,0.0,46,
0,4,1.5,0.5,0.23523110246761847,0.0,47,
0,4,1.5,0.5,0.2300467801359558,0.0,48,
0,4,1.5,0.5,0.23526532453280935,0.0,49,
0,4,1.5,0.5,0.23458837089027285,0.0,50,
0,4,1.5,0.5,0.22922958411071948,0.0,51,
0,4,1.5,0.5,0.22626657375347892,0.0,52,
0,4,1.5,0.5,0.2325928648315786,0.0,53,
0,4,1.5,0.5,0.23244608409105882,0.0,54,
0,4,1.5,0.5,0.23161395968140663,0.0,55,
0,4,1.5,0.5,0.23556827871302788,0.0,56,
0,4,1.5,0.5,0.23320970581773603,0.0,57,
0,4,1.5,0.5,0.22573806992979129,0.0,58,
0,4,1.5,0.5,0.23098341586075255,0.0,59,
0,4,1.5,0.5,0.22735652280179774,0.0,60,
0,4,1.5,0.5,0.23212424996727976,0.0,61,
0,4,1.5,0.5,0.22923671388357691,0.0,62,
0,4,1.5,0.5,0.23268953667227132,0.0,63,
0,4,1.5,0.5,0.23124066557501965,0.0,64,
0,4,1.5,0.5,0.2319516287868515,0.0,65,
0,4,1.5,0.5,0.23176170415506125,0.0,66,
0,4,1.5,0.5,0.23608434399767242,0.0,67,
0,4,1.5,0.5,0.22788330846274307,0.0,68,
0,4,1.5,0.5,0.2267660985782135,0.0,69,
0,4,1.5,0.5,0.22847665869706912,0.0,70,
0,4,1.5,0.5,0.22935577470327917,0.0,71,
0,4,1.5,0.5,0.23403642928380874,0.0,72,
0,4,1.5,0.5,0.2275423781488629,0.0,73,
0,4,1.5,0.5,0.23010756092977425,0.0,74,
0,4,1.5,0.5,0.23400201430229395,0.0,75,
0,4,1.5,0.5,0.22727749846416,0.0,76,
0,4,1.5,0.5,0.233795733094199,0.0,77,
0,4,1.5,0.5,0.23075090351121696,0.0,78,
0,4,1.5,0.5,0.23241754762887545,0.0,79,
0,4,1.5,0.5,0.23115534015129735,0.0,80,
0,4,1.5,0.5,0.2346737968700945,0.0,81,
0,4,1.5,0.5,0.23017546505835051,0.0,82,
0,4,1.5,0.5,0.23190530608950988,0.0,83,
0,4,1.5,0.5,0.23150012841047218,0.0,84,
0,4,1.5,0.5,0.23009782891101127,0.0,85,
0,4,1.5,0.5,0.23380800681376257,0.0,86,
0,4,1.5,0.5,0.23448856556841602,0.0,87,
0,4,1.5,0.5,0.23196718746239198,0.0,88,
0,4,1.5,0.5,0.22823718273486215,0.0,89,
0,4,1.5,0.5,0.22924519260209852,0.0,90,
0,4,1.5,0.5,0.23200937723775927,0.0,91,
0,4,1.5,0.5,0.2311311688276586,0.0,92,
0,4,1.5,0.5,0.2315544610412843,0.0,93,
0,4,1.5,0.5,0.23035685639298176,0.0,94,
0,4,1.5,0.5,0.23449266951022407,0.0,95,
0,4,1.5,0.5,0.22720048545954685,0.0,96,
0,4,1.5,0.5,0.23054921085743896,0.0,97,
0,4,1.5,0.5,0.2307779049776696,0.0,98,
0,4,1.5,0.5,0.22922474519203706,0.0,99,
0,4,1.5,0.5,0.23013180421256407,0.0,100,
1,4,1.5,0.5,0.3455315729873685,0.0,0,
1,4,1.5,0.5,0.223394182915989,0.0,1,
